市町村コード,都道府県名,市町村名,図書館名,年度,開館日数（日）,総数（人）,一般・団体（人）,生徒（人）,児童（人）,総数（冊）,一般図書等（冊）,児童図書（冊）,視聴覚資料（点）,,,,,,,,,,
05212,秋田県,大仙市,西仙北図書館,2011(平成23）,346,6350,5131,284,935,21504,11308,8746,1450,,,,,,,,,,
05212,秋田県,大仙市,西仙北図書館,2012(平成24）,345,6788,5282,312,1194,21849,11412,8963,1474,,,,,,,,,,
05212,秋田県,大仙市,西仙北図書館,2013(平成25）,344,6925,5396,211,1318,22533,11850,9514,1169,,,,,,,,,,
05212,秋田県,大仙市,西仙北図書館,2014(平成26）,341,5712,4761,166,785,19861,11132,7999,730,,,,,,,,,,
05212,秋田県,大仙市,西仙北図書館,2015(平成27）,343,5884,4986,108,790,19338,11261,7423,654,,,,,,,,,,
05212,秋田県,大仙市,西仙北図書館,2016(平成28）,343,5346,4515,81,750,18142,10371,7106,665,,,,,,,,,,
05212,秋田県,大仙市,西仙北図書館,2017(平成29）,343,4634,3841,86,707,16352,9139,6620,593,,,,,,,,,,
05212,秋田県,大仙市,西仙北図書館,2018(平成30）,327,3939,3537,61,341,14561,8574,5676,311,,,,,,,,,,
05212,秋田県,大仙市,西仙北図書館,2019(令和1）,298,3659,3234,60,365,13151,8084,4773,294,,,,,,,,,,
05212,秋田県,大仙市,西仙北図書館,2020(令和2）,275,3253,2949,85,219,12761,8442,4044,275,,,,,,,,,,
05212,秋田県,大仙市,中仙図書館,2009(平成21）,344,1980,1885,18,77,4944,3080,1148,716,,,,,,,,,,
05212,秋田県,大仙市,中仙図書館,2010(平成22）,343,2602,2414,37,151,6777,4044,1703,1030,,,,,,,,,,
05212,秋田県,大仙市,中仙図書館,2011(平成23）,345,2891,2665,83,143,8306,4578,1825,1903,,,,,,,,,,
05212,秋田県,大仙市,中仙図書館,2012(平成24）,345,2983,2500,78,405,8596,4771,2365,1460,,,,,,,,,,
05212,秋田県,大仙市,中仙図書館,2013(平成25）,342,2726,2394,50,282,8140,4732,2224,1184,,,,,,,,,,
05212,秋田県,大仙市,中仙図書館,2014(平成26）,337,3014,2568,81,365,9468,5437,3014,1017,,,,,,,,,,
05212,秋田県,大仙市,中仙図書館,2015(平成27）,345,3179,2581,86,512,10072,5502,3414,1156,,,,,,,,,,
05212,秋田県,大仙市,中仙図書館,2016(平成28）,345,2961,2373,97,391,8923,4842,3205,876,,,,,,,,,,
05212,秋田県,大仙市,中仙図書館,2017(平成29）,342,2469,2131,91,247,7876,4315,2806,755,,,,,,,,,,
05212,秋田県,大仙市,中仙図書館,2018(平成30）,332,2132,1844,52,236,6713,3683,2407,623,,,,,,,,,,
05212,秋田県,大仙市,中仙図書館,2019(令和1）,298,1938,1568,57,313,6004,3183,2334,487,,,,,,,,,,
05212,秋田県,大仙市,中仙図書館,2020(令和2）,276,1564,1222,39,303,5223,2643,2190,390,,,,,,,,,,
05212,秋田県,大仙市,協和図書館,2005(平成17),290,6968,5616,412,940,19117,13109,6008,,,,,,,,,,,
05212,秋田県,大仙市,協和図書館,2006(平成18）,292,7556,6180,426,950,21754,9864,6599,5650,,,,,,,,,,
05212,秋田県,大仙市,協和図書館,2007(平成19）,291,7920,6251,311,1358,20636,10629,6039,3968,,,,,,,,,,
05212,秋田県,大仙市,協和図書館,2008(平成20）,327,7623,6073,224,1326,19771,10671,5131,3969,,,,,,,,,,
05212,秋田県,大仙市,協和図書館,2009(平成21）,347,8967,7531,198,1238,23641,12251,8125,3265,,,,,,,,,,
05212,秋田県,大仙市,協和図書館,2010(平成22）,344,7240,5220,156,1864,21646,11157,7930,2559,,,,,,,,,,
05212,秋田県,大仙市,協和図書館,2011(平成23）,344,6428,5066,128,1234,20482,10076,8220,2186,,,,,,,,,,
05212,秋田県,大仙市,協和図書館,2012(平成24）,344,5700,4670,140,890,18809,9406,8016,1387,,,,,,,,,,
05212,秋田県,大仙市,協和図書館,2013(平成25）,343,5901,5175,121,605,19381,10574,7470,1337,,,,,,,,,,
05212,秋田県,大仙市,協和図書館,2014(平成26）,341,6273,4935,708,630,20789,11433,8135,1221,,,,,,,,,,
05212,秋田県,大仙市,協和図書館,2015(平成27）,345,5937,5255,140,542,20543,10862,8654,1027,,,,,,,,,,
05212,秋田県,大仙市,協和図書館,2016(平成28）,345,5660,5021,144,495,20299,10556,8489,1254,,,,,,,,,,
05212,秋田県,大仙市,協和図書館,2017(平成29）,344,5212,4641,143,428,16698,9975,5675,1048,,,,,,,,,,
05212,秋田県,大仙市,協和図書館,2018(平成30）,333,5410,4785,196,429,15958,10294,4458,1206,,,,,,,,,,
05212,秋田県,大仙市,協和図書館,2019(令和1）,294,4655,3965,264,426,13299,8249,3929,1121,,,,,,,,,,
05212,秋田県,大仙市,協和図書館,2020(令和2）,275,3453,3163,25,265,10753,6843,3445,465,,,,,,,,,,
05212,秋田県,大仙市,南外図書館,2005(平成17),322,347,,,,810,,,,,,,,,,,,,
05212,秋田県,大仙市,南外図書館,2006(平成18）,319,438,286,91,61,988,761,227,,,,,,,,,,,
05212,秋田県,大仙市,南外図書館,2007(平成19）,319,490,358,64,68,1173,812,361,,,,,,,,,,,
05212,秋田県,大仙市,南外図書館,2008(平成20）,313,590,442,37,111,1311,874,437,,,,,,,,,,,
05212,秋田県,大仙市,南外図書館,2009(平成21）,344,969,711,11,247,1960,1148,812,,,,,,,,,,,
05212,秋田県,大仙市,南外図書館,2010(平成22）,342,650,534,13,103,1409,886,523,,,,,,,,,,,
05212,秋田県,大仙市,南外図書館,2011(平成23）,344,650,534,65,51,860,471,389,,,,,,,,,,,
05212,秋田県,大仙市,南外図書館,2012(平成24）,344,751,552,15,184,1578,989,589,,,,,,,,,,,
05212,秋田県,大仙市,南外図書館,2013(平成25）,343,809,569,65,175,1825,1082,743,,,,,,,,,,,
05212,秋田県,大仙市,南外図書館,2014(平成26）,341,892,723,24,145,2057,1198,856,3,,,,,,,,,,
05212,秋田県,大仙市,南外図書館,2015(平成27）,342,1216,894,56,266,2781,1692,1089,,,,,,,,,,,
05212,秋田県,大仙市,南外図書館,2016(平成28）,342,1143,878,64,201,2348,1568,779,1,,,,,,,,,,
05212,秋田県,大仙市,南外図書館,2017(平成29）,342,1102,845,44,213,2673,1473,1199,1,,,,,,,,,,
05212,秋田県,大仙市,南外図書館,2018(平成30）,331,870,692,23,155,2523,1353,1169,1,,,,,,,,,,
05212,秋田県,大仙市,南外図書館,2019(令和1）,295,754,631,19,104,2310,1182,1128,,,,,,,,,,,
05212,秋田県,大仙市,南外図書館,2020(令和2）,275,582,508,11,63,1591,1020,571,,,,,,,,,,,
05212,秋田県,大仙市,仙北図書館,2005(平成17),302,14036,10010,855,3171,48910,26300,22610,,,,,,,,,,,
05212,秋田県,大仙市,仙北図書館,2006(平成18）,302,14391,10301,1020,3070,51198,19219,14942,17037,,,,,,,,,,
05212,秋田県,大仙市,仙北図書館,2007(平成19）,302,14424,9884,719,3821,46945,17181,15919,13845,,,,,,,,,,
05212,秋田県,大仙市,仙北図書館,2008(平成20）,305,14783,10373,431,3979,44595,18360,14429,11806,,,,,,,,,,
05212,秋田県,大仙市,仙北図書館,2009(平成21）,344,16018,11940,415,3663,44383,19746,14168,10469,,,,,,,,,,
05212,秋田県,大仙市,仙北図書館,2010(平成22）,342,15747,11942,349,3456,43472,21269,13266,8937,,,,,,,,,,
05212,秋田県,大仙市,仙北図書館,2011(平成23）,344,14681,11690,409,2582,41397,20981,12668,7748,,,,,,,,,,
05212,秋田県,大仙市,仙北図書館,2012(平成24）,344,14638,11945,328,2365,39928,20964,12515,6449,,,,,,,,,,
05212,秋田県,大仙市,仙北図書館,2013(平成25）,343,14571,11521,324,2726,40137,20441,13795,5901,,,,,,,,,,
05212,秋田県,大仙市,仙北図書館,2014(平成26）,341,12519,9827,221,2471,37683,19227,13073,5383,,,,,,,,,,
05212,秋田県,大仙市,仙北図書館,2015(平成27）,343,12182,9543,233,2406,39032,20328,13342,5362,,,,,,,,,,
05212,秋田県,大仙市,仙北図書館,2016(平成28）,344,10820,8571,211,2038,33938,18169,11521,4248,,,,,,,,,,
05212,秋田県,大仙市,仙北図書館,2017(平成29）,344,10237,8137,231,1869,32623,16960,11228,4435,,,,,,,,,,
05212,秋田県,大仙市,仙北図書館,2018(平成30）,343,10724,8504,156,2064,34087,18079,11574,4434,,,,,,,,,,
05212,秋田県,大仙市,仙北図書館,2019(令和1）,308,9353,7631,103,1619,29879,16409,9460,4010,,,,,,,,,,
05212,秋田県,大仙市,仙北図書館,2020(令和2）,217,5639,4670,131,838,18843,11105,5298,2440,,,,,,,,,,
05212,秋田県,大仙市,太田図書館,2005(平成17),364,862,477,44,341,3512,1827,1685,,,,,,,,,,,
05212,秋田県,大仙市,太田図書館,2006(平成18）,359,1838,1095,467,276,4689,1928,2761,,,,,,,,,,,
05212,秋田県,大仙市,太田図書館,2007(平成19）,359,1970,1167,30,773,3192,1047,2093,52,,,,,,,,,,
05212,秋田県,大仙市,太田図書館,2008(平成20）,346,677,391,25,261,2954,959,1976,19,,,,,,,,,,
05212,秋田県,大仙市,太田図書館,2009(平成21）,343,1378,911,35,432,4638,2210,2417,11,,,,,,,,,,
05212,秋田県,大仙市,太田図書館,2010(平成22）,342,1304,854,36,414,4352,2099,2193,60,,,,,,,,,,
05212,秋田県,大仙市,太田図書館,2011(平成23）,345,1466,892,49,525,5065,2107,2905,53,,,,,,,,,,
05212,秋田県,大仙市,太田図書館,2012(平成24）,345,1323,875,61,387,4437,1984,2438,15,,,,,,,,,,
05212,秋田県,大仙市,太田図書館,2013(平成25）,343,1348,929,72,347,4347,1984,2326,37,,,,,,,,,,
05212,秋田県,大仙市,太田図書館,2014(平成26）,336,1318,955,58,305,4255,1857,2374,24,,,,,,,,,,
05212,秋田県,大仙市,太田図書館,2015(平成27）,345,1153,826,77,250,3618,1628,1949,41,,,,,,,,,,
05212,秋田県,大仙市,太田図書館,2016(平成28）,344,1226,936,58,232,3713,1510,2158,45,,,,,,,,,,
05212,秋田県,大仙市,太田図書館,2017(平成29）,344,1262,998,39,225,4060,1888,2140,32,,,,,,,,,,
05212,秋田県,大仙市,太田図書館,2018(平成30）,332,1200,934,30,236,3781,1640,2120,21,,,,,,,,,,
05212,秋田県,大仙市,太田図書館,2019(令和1）,297,846,657,18,171,2626,1102,1494,30,,,,,,,,,,
05212,秋田県,大仙市,太田図書館,2020(令和2）,275,750,621,16,113,2324,1067,1238,19,,,,,,,,,,
