地域コード,地域,地区,年次,総数(戸),総数(パーセント),例外規定(戸),例外規定(パーセント),0.3ha以上0.5ha未満(戸),0.3ha以上0.5ha未満(パーセント),0.5ha以上1.0ha未満(戸),0.5ha以上1.0ha未満(パーセント),1.0ha以上1.5ha未満(戸),1.0ha以上1.5ha未満(パーセント),1.5ha以上2.0ha未満(戸),1.5ha以上2.0ha未満(パーセント),2.0ha以上3.0ha未満(戸),2.0ha以上3.0ha未満(パーセント),3.0ha以上(戸),3.0ha以上(パーセント)
05212,大仙市,西仙北地域,1985(昭和60),"1,848",14.2,1 ,0.1,158 ,1.2,348 ,2.7,314 ,2.4,261 ,2.0,375,2.9,214,1.6
05212,大仙市,西仙北地域,1990(平成2),"1,738",14.2,3 ,0.2,154 ,1.3,306 ,2.5,296 ,2.4,272 ,2.2,319,2.6,214,1.7
05212,大仙市,西仙北地域,1995(平成7),"1,605",14.1,0 ,0.0,133 ,1.2,287 ,2.5,267 ,2.3,234 ,2.0,301,2.6,222,1.9
05212,大仙市,西仙北地域,2000(平成12),"1,327",13.9,0 ,0.0,122 ,1.3,261 ,2.7,218 ,2.3,230 ,2.4,259,2.7,237,2.5
05212,大仙市,西仙北地域,2005(平成17),"1,162",13.7,0 ,0.0,83 ,1.0,219 ,2.6,229 ,2.7,177 ,2.1,224,2.6,230,2.7
05212,大仙市,西仙北地域,2010(平成22),831,13.1,2 ,0.2,53 ,0.8,168 ,2.7,163 ,2.6,122 ,1.9,146,2.3,177,2.8
05212,大仙市,西仙北地域,2015(平成27),709,13.9,1 ,0.1,49 ,1.0,136 ,2.7,127 ,2.5,104 ,2.0,123,2.4,169,3.3
05212,大仙市,刈和野,2015(平成27),36,0.7,0 ,0.0,5 ,0.1,11 ,0.2,8 ,0.2,1 ,0.0,4,0.1,7,0.1
05212,大仙市,土川,2015(平成27),276,5.4,0 ,0.0,15 ,0.3,45 ,0.9,48 ,0.9,50 ,1.0,57,1.1,61,1.2
05212,大仙市,大沢郷,2015(平成27),249,4.9,0 ,0.0,17 ,0.3,65 ,1.3,55 ,1.1,38 ,0.7,35,0.7,39,0.8
05212,大仙市,強首,2015(平成27),148,2.9,1 ,0.7,12 ,0.2,15 ,0.3,16 ,0.3,15 ,0.3,27,0.5,62,1.2
05212,大仙市,中仙地域,1975(昭和50),"2,164",15.5,2 ,0.1,216 ,1.5,408 ,2.9,325 ,2.3,315 ,2.3,461,3.3,231,1.7
05212,大仙市,中仙地域,1980(昭和55),"2,127",15.6,5 ,0.2,207 ,1.5,399 ,2.9,309 ,2.3,294 ,2.2,472,3.5,251,1.8
05212,大仙市,中仙地域,1985(昭和60),"2,050",15.7,4 ,0.2,173 ,1.3,369 ,2.8,301 ,2.3,251 ,1.9,456,3.5,300,2.3
05212,大仙市,中仙地域,1990(平成2),"1,930",15.8,7 ,0.4,156 ,1.3,351 ,2.9,260 ,2.1,236 ,1.9,438,3.6,314,2.6
05212,大仙市,中仙地域,1995(平成7),"1,821",15.9,2 ,0.1,136 ,1.2,336 ,2.9,242 ,2.1,241 ,2.1,378,3.3,337,3.0
05212,大仙市,中仙地域,2000(平成12),"1,554",16.3,0 ,0.0,125 ,1.3,287 ,3.0,209 ,2.2,231 ,2.4,344,3.6,358,3.8
05212,大仙市,中仙地域,2005(平成17),"1,410",16.6,2 ,0.1,97 ,1.1,248 ,2.9,191 ,2.3,196 ,2.3,323,3.8,353,4.2
05212,大仙市,中仙地域,2010(平成22),999,15.8,14 ,1.4,123 ,1.9,203 ,3.2,128 ,2.0,108 ,1.7,176,2.8,247,3.9
05212,大仙市,中仙地域,2015(平成27),826,16.1,5 ,0.6,46 ,0.9,127 ,2.5,109 ,2.1,104 ,2.0,166,3.2,269,5.3
05212,大仙市,長野,2015(平成27),261,5.1,1 ,0.4,20 ,0.4,41 ,0.8,39 ,0.8,32 ,0.6,57,1.1,71,1.4
05212,大仙市,清水,2015(平成27),206,4.0,2 ,1.0,10 ,0.2,35 ,0.7,24 ,0.5,34 ,0.7,32,0.6,69,1.3
05212,大仙市,豊川,2015(平成27),153,3.0,1 ,0.7,3 ,0.1,17 ,0.3,22 ,0.4,19 ,0.4,33,0.6,58,1.1
05212,大仙市,豊岡,2015(平成27),206,4.0,1 ,0.5,13 ,0.3,34 ,0.7,24 ,0.5,19 ,0.4,44,0.9,71,1.4
05212,大仙市,協和地域,1975(昭和50),"1,485",10.7,0 ,0.0,164 ,1.2,276 ,2.0,241 ,1.7,241 ,1.7,306,2.2,102,0.7
05212,大仙市,協和地域,1980(昭和55),"1,431",10.5,0 ,0.0,147 ,1.1,230 ,1.7,224 ,1.6,200 ,1.5,333,2.4,144,1.1
05212,大仙市,協和地域,1985(昭和60),"1,348",10.3,0 ,0.0,128 ,1.0,214 ,1.6,192 ,1.5,190 ,1.5,301,2.3,174,1.3
05212,大仙市,協和地域,1990(平成2),"1,223",10.0,2 ,0.2,105 ,0.9,204 ,1.7,171 ,1.4,165 ,1.3,289,2.4,174,1.4
05212,大仙市,協和地域,1995(平成7),"1,107",9.7,0 ,0.0,89 ,0.8,154 ,1.3,158 ,1.4,148 ,1.3,221,1.9,188,1.6
05212,大仙市,協和地域,2000(平成12),886,9.3,0 ,0.0,76 ,0.8,143 ,1.5,137 ,1.4,133 ,1.4,203,2.1,194,2.0
05212,大仙市,協和地域,2005(平成17),764,9.0,0 ,0.0,55 ,0.6,121 ,1.4,128 ,1.5,125 ,1.5,164,1.9,171,2.0
05212,大仙市,協和地域,2010(平成22),531,8.4,0 ,0.0,58 ,0.9,105 ,1.7,94 ,1.5,64 ,1.0,87,1.4,123,1.9
05212,大仙市,協和地域,2015(平成27),398,7.8,2 ,0.5,36 ,0.7,73 ,1.4,74 ,1.4,44 ,0.9,60,1.2,109,2.1
05212,大仙市,荒川,2015(平成27),101,2.0,0 ,0.0,10 ,0.2,14 ,0.3,21 ,0.4,8 ,0.2,19,0.4,29,0.6
05212,大仙市,峰吉川,2015(平成27),78,1.5,0 ,0.0,11 ,0.2,24 ,0.5,11 ,0.2,11 ,0.2,9,0.2,12,0.2
05212,大仙市,淀川,2015(平成27),136,2.7,2 ,1.5,8 ,0.2,21 ,0.4,28 ,0.5,16 ,0.3,23,0.4,38,0.7
05212,大仙市,船岡,2015(平成27),83,1.6,0 ,0.0,7 ,0.1,14 ,0.3,14 ,0.3,9 ,0.2,9,0.2,30,0.6
05212,大仙市,南外地域,1975(昭和50),947,6.8,0 ,0.0,119 ,0.9,232 ,1.7,0 ,0.0,159 ,1.1,111,0.8,16,0.1
05212,大仙市,南外地域,1980(昭和55),926,6.8,0 ,0.0,106 ,0.8,220 ,1.6,209 ,1.5,153 ,1.1,118,0.9,34,0.2
05212,大仙市,南外地域,1985(昭和60),916,7.0,2 ,0.2,87 ,0.7,217 ,1.7,191 ,1.5,148 ,1.1,136,1.0,39,0.3
05212,大仙市,南外地域,1990(平成2),868,7.1,0 ,0.0,73 ,0.6,208 ,1.7,175 ,1.4,147 ,1.2,111,0.9,54,0.4
05212,大仙市,南外地域,1995(平成7),829,7.3,1 ,0.1,84 ,0.7,202 ,1.8,164 ,1.4,134 ,1.2,92,0.8,60,0.5
05212,大仙市,南外地域,2000(平成12),686,7.2,0 ,0.0,75 ,0.8,178 ,1.9,134 ,1.4,134 ,1.4,94,1.0,71,0.7
05212,大仙市,南外地域,2005(平成17),628,7.4,0 ,0.0,62 ,0.7,164 ,1.9,132 ,1.6,116 ,1.4,87,1.0,67,0.8
05212,大仙市,南外地域,2010(平成22),482,7.6,3 ,0.6,44 ,0.7,106 ,1.7,96 ,1.5,82 ,1.3,77,1.2,74,1.2
05212,大仙市,南外地域,2015(平成27),378,7.4,1 ,0.3,32 ,0.6,82 ,1.6,67 ,1.3,61 ,1.2,68,1.3,67,1.3
05212,大仙市,外小友,2015(平成27),166,3.2,0 ,0.0,16 ,0.3,42 ,0.8,38 ,0.7,19 ,0.4,31,0.6,20,0.4
05212,大仙市,南楢岡,2015(平成27),212,4.1,1 ,0.5,16 ,0.3,40 ,0.8,29 ,0.6,42 ,0.8,37,0.7,47,0.9
05212,大仙市,仙北地域,1975(昭和50),"1,455",10.4,0 ,0.0,171 ,1.2,287 ,2.1,238 ,1.7,187 ,1.3,329,2.4,128,0.9
05212,大仙市,仙北地域,1980(昭和55),"1,435",10.5,1 ,0.1,161 ,1.2,302 ,2.2,213 ,1.6,190 ,1.4,301,2.2,141,1.0
05212,大仙市,仙北地域,1985(昭和60),"1,376",10.6,0 ,0.0,159 ,1.2,290 ,2.2,184 ,1.4,172 ,1.3,299,2.3,154,1.2
05212,大仙市,仙北地域,1990(平成2),"1,299",10.6,2 ,0.2,124 ,1.0,282 ,2.3,179 ,1.5,150 ,1.2,256,2.1,185,1.5
05212,大仙市,仙北地域,1995(平成7),"1,203",10.5,1 ,0.1,125 ,1.1,233 ,2.0,164 ,1.4,130 ,1.1,232,2.0,198,1.7
05212,大仙市,仙北地域,2000(平成12),"1,022",10.7,1 ,0.1,95 ,1.0,234 ,2.5,143 ,1.5,134 ,1.4,216,2.3,199,2.1
05212,大仙市,仙北地域,2005(平成17),858,10.1,0 ,0.0,80 ,0.9,179 ,2.1,124 ,1.5,109 ,1.3,170,2.0,196,2.3
05212,大仙市,仙北地域,2010(平成22),660,10.4,1 ,0.2,51 ,0.8,131 ,2.1,98 ,1.5,67 ,1.1,124,2.0,188,3.0
05212,大仙市,仙北地域,2015(平成27),541,10.6,1 ,0.2,29 ,0.6,92 ,1.8,74 ,1.4,58 ,1.1,93,1.8,194,3.8
05212,大仙市,高梨,2015(平成27),238,4.7,1 ,0.4,20 ,0.4,44 ,0.9,33 ,0.6,27 ,0.5,44,0.9,69,1.3
05212,大仙市,横堀,2015(平成27),303,5.9,0 ,0.0,9 ,0.2,48 ,0.9,41 ,0.8,31 ,0.6,49,1.0,125,2.4
05212,大仙市,太田地域,1975(昭和50),"1,488",10.7,2 ,0.1,128 ,0.9,256 ,1.8,224 ,1.6,185 ,1.3,352,2.5,231,1.7
05212,大仙市,太田地域,1980(昭和55),"1,471",10.8,0 ,0.0,126 ,0.9,269 ,2.0,208 ,1.5,182 ,1.3,319,2.3,263,1.9
05212,大仙市,太田地域,1985(昭和60),"1,407",10.8,1 ,0.1,111 ,0.9,252 ,1.9,186 ,1.4,171 ,1.3,300,2.3,275,2.1
05212,大仙市,太田地域,1990(平成2),"1,316",10.7,0 ,0.0,106 ,0.9,233 ,1.9,161 ,1.3,160 ,1.3,258,2.1,298,2.4
05212,大仙市,太田地域,1995(平成7),"1,202",10.5,1 ,0.1,87 ,0.8,198 ,1.7,152 ,1.3,128 ,1.1,231,2.0,304,2.7
05212,大仙市,太田地域,2000(平成12),"1,036",10.9,0 ,0.0,90 ,0.9,168 ,1.8,135 ,1.4,117 ,1.2,199,2.1,327,3.4
05212,大仙市,太田地域,2005(平成17),907,10.7,0 ,0.0,67 ,0.8,137 ,1.6,122 ,1.4,111 ,1.3,173,2.0,297,3.5
05212,大仙市,太田地域,2010(平成22),748,11.8,1 ,0.1,43 ,0.7,111 ,1.8,86 ,1.4,84 ,1.3,131,2.1,292,4.6
05212,大仙市,太田地域,2015(平成27),628,12.3,2 ,0.3,28 ,0.5,87 ,1.7,68 ,1.3,63 ,1.2,106,2.1,274,5.4
05212,大仙市,長信田,2015(平成27),318,6.2,1 ,0.3,11 ,0.2,42 ,0.8,35 ,0.7,33 ,0.6,45,0.9,151,3.0
05212,大仙市,横沢,2015(平成27),310,6.1,1 ,0.3,17 ,0.3,45 ,0.9,33 ,0.6,30 ,0.6,61,1.2,123,2.4
,,,,,,,,,,,,,,,,,,,
