市町村コード,都道府県名,市町村名,地域,年度,区分,施設名,利用者数（人）,補足,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,大曲地域,2014(平成26）,テニスコート,大仙市総合公園テニスコート,"25,139",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,大曲地域,2015(平成27）,テニスコート,大仙市総合公園テニスコート,"26,585",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,大曲地域,2016(平成28）,テニスコート,大仙市総合公園テニスコート,"26,043",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,大曲地域,2017(平成29）,テニスコート,大仙市総合公園テニスコート,"28,765",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,大曲地域,2018(平成30）,テニスコート,大仙市総合公園テニスコート,"26,144",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,大曲地域,2019(令和1）,テニスコート,大仙市総合公園テニスコート,"22,323",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,大曲地域,2006(平成18）,スキー場,大曲スキー場,"1,762",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,大曲地域,2007(平成19）,スキー場,大曲スキー場,"3,863",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,大曲地域,2008(平成20）,スキー場,大曲スキー場,"9,305",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,大曲地域,2009(平成21）,スキー場,大曲スキー場,"13,608",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,大曲地域,2010(平成22）,スキー場,大曲スキー場,"8,919",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,大曲地域,2011(平成23）,スキー場,大曲スキー場,"8,661",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
