市町村コード,都道府県名,市町村名,年度,財源区分,歳入項目,決算額（千円）,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2013(平成25）,依存財源,法人事業税交付金,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2013(平成25）,依存財源,地方消費税交付金,826668,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2013(平成25）,依存財源,ゴルフ場利用税交付金,14230,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2013(平成25）,依存財源,自動車取得税交付金,157489,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2013(平成25）,依存財源,環境性能割交付金,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2013(平成25）,依存財源,地方特例交付金,25944,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2013(平成25）,依存財源,地方交付税,21496379,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2013(平成25）,依存財源,交通安全対策特別交付金,18189,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2013(平成25）,依存財源,国庫支出金,8551434,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2013(平成25）,依存財源,県支出金,3914592,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2013(平成25）,依存財源,市債,5684458,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2014(平成26）,自主財源,市税,7947979,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2014(平成26）,自主財源,分担金・負担金,234018,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2014(平成26）,自主財源,使用料・手数料,461503,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2014(平成26）,自主財源,財産収入,76395,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2014(平成26）,自主財源,寄付金（含む繰入金),292401,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2014(平成26）,自主財源,繰越金,901138,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2014(平成26）,自主財源,諸収入,1594171,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2014(平成26）,依存財源,地方譲与税,739282,,,,,,,,,,,,,,,
