市町村コード,都道府県名,市町村名,地域,年度,申請件数総数（件）,申請件数（5人槽）（件）,申請件数（6～7人槽）（件）,申請件数（8～10人槽）（件）,補助金決定額総額（千円）,補助金決定額（5人槽）（千円）,補助金決定額（6～7人槽）（千円）,補助金決定額（8～10人槽）（千円）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,神岡地域,2014(平成26）,2,2,0,0,940,940,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,神岡地域,2015(平成27）,5,2,3,0,"2,704",940,"1,764",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,神岡地域,2016(平成28）,3,3,0,0,"1,410","1,410",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,神岡地域,2017(平成29）,1,1,0,0,470,470,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,神岡地域,2018(平成30）,2,1,1,0,"1,058",470,588,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,神岡地域,2019(令和1）,3,2,1,0,"1,277",763,514,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,神岡地域,2020(令和2）,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,西仙北地域,2005(平成17),12,1,11,0,"7,789",562,"7,227",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,西仙北地域,2006(平成18）,5,1,4,0,"3,190",562,"2,628",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,西仙北地域,2007(平成19）,5,1,4,0,"2,479",423,"2,056",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,西仙北地域,2008(平成20）,10,4,6,0,"4,728","1,644","3,084",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,西仙北地域,2009(平成21）,17,4,13,0,"8,326","1,644","6,682",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,西仙北地域,2010(平成22）,10,5,5,0,"4,625","2,055","2,570",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,西仙北地域,2011(平成23）,17,4,13,0,"8,326","1,644","6,682",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,西仙北地域,2012(平成24）,6,0,6,0,"3,084",0,"3,084",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,西仙北地域,2013(平成25）,10,2,8,0,"4,934",822,"4,112",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,西仙北地域,2014(平成26）,6,4,2,0,"2,938","1,762","1,176",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,西仙北地域,2015(平成27）,13,5,8,0,"6,789","2,232","4,557",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,西仙北地域,2016(平成28）,5,3,2,0,"2,586","1,410","1,176",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,西仙北地域,2017(平成29）,9,3,6,0,"4,938","1,410","3,528",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,西仙北地域,2018(平成30）,9,6,3,0,"4,584","2,820","1,764",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,西仙北地域,2019(令和1）,5,2,3,0,"2,364",822,"1,542",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,西仙北地域,2020(令和2）,6,3,3,0,"2,775","1,233","1,542",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,中仙地域,2005(平成17),44,6,37,1,"28,513","3,372","24,309",832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,中仙地域,2006(平成18）,32,6,26,0,"20,454","3,372","17,082",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,中仙地域,2007(平成19）,29,4,24,1,"14,700","1,692","12,336",672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,中仙地域,2008(平成20）,38,7,31,0,"18,811","2,877","15,934",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,中仙地域,2009(平成21）,45,6,38,1,"22,684","2,466","19,532",686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,中仙地域,2010(平成22）,24,7,17,0,"11,615","2,877","8,738",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,中仙地域,2011(平成23）,22,7,15,0,"10,587","2,877","7,710",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,中仙地域,2012(平成24）,24,7,17,0,"11,615","2,877","8,738",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,中仙地域,2013(平成25）,27,7,20,0,"13,157","2,877","10,280",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,中仙地域,2014(平成26）,24,4,20,0,"13,375","1,762","11,613",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,中仙地域,2015(平成27）,30,7,23,0,"16,814","3,290","13,524",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
