地域コード,市町村,地域,年次,事業所数(所),従業者数(人),製造品出荷額等(万円),現金給与総額(万円),原材料使用額等(万円)
052124,大仙市,西仙北地域,2006年(平成18),20,701,"704,380","186,980","331,440"
052124,大仙市,西仙北地域,2007年(平成19),20,725,"687,365","186,249","321,565"
052124,大仙市,西仙北地域,2008年(平成20),19,674,"660,353","174,564","312,528"
052124,大仙市,西仙北地域,2009年(平成21),18,659,"539,906","154,744","241,184"
052124,大仙市,西仙北地域,2010年(平成22),17,642,"544,786","167,389","256,994"
052124,大仙市,西仙北地域,2011年(平成23),,,,,
052124,大仙市,西仙北地域,2012年(平成24),18,574,"556,562","155,000","265,679"
052124,大仙市,西仙北地域,2013年(平成25),19,593,"573,042","153,956","271,344"
052124,大仙市,西仙北地域,2014年(平成26),18,568,"605,726","156,550","304,790"
052124,大仙市,中仙地域,1991年(平成3),40,"1,059","727,083","191,099","272,002"
052124,大仙市,中仙地域,1992年(平成4),37,995,"773,866","197,596","276,605"
052124,大仙市,中仙地域,1993年(平成5),40,931,"670,073","192,189","247,428"
052124,大仙市,中仙地域,1994年(平成6),43,994,"658,659","189,342","230,521"
052124,大仙市,中仙地域,1995年(平成7),40,908,"663,470","190,960","254,506"
052124,大仙市,中仙地域,1996年(平成8),42,901,"641,226","188,108","248,721"
052124,大仙市,中仙地域,1997年(平成9）,41,880,"647,938","195,848","239,958"
052124,大仙市,中仙地域,1998年(平成10),42,884,"650,585","197,260","245,056"
052124,大仙市,中仙地域,1999年(平成11),40,857,"638,654","191,775","231,187"
052124,大仙市,中仙地域,2000年(平成12),40,771,"574,475","187,106","244,903"
052124,大仙市,中仙地域,2001年(平成13),34,658,"491,614","155,662","202,872"
052124,大仙市,中仙地域,2002年(平成14),33,642,"483,776","143,546","207,197"
052124,大仙市,中仙地域,2003年(平成15),33,608,"456,398","131,860","199,746"
052124,大仙市,中仙地域,2004年(平成16),32,607,"493,564","140,982","225,476"
052124,大仙市,中仙地域,2005年(平成17),31,592,"488,543","136,368","224,355"
052124,大仙市,中仙地域,2006年(平成18),31,569,"480,532","132,807","215,572"
052124,大仙市,中仙地域,2007年(平成19),30,577,"466,806","133,992","200,766"
052124,大仙市,中仙地域,2008年(平成20),30,529,"425,423","127,793","189,086"
052124,大仙市,中仙地域,2009年(平成21),27,491,"341,201","105,111","157,585"
052124,大仙市,中仙地域,2010年(平成22),27,513,"358,122","112,551","163,117"
052124,大仙市,中仙地域,2011年(平成23),,,,,
052124,大仙市,中仙地域,2012年(平成24),29,510,"383,775","114,080","160,152"
052124,大仙市,中仙地域,2013年(平成25),27,466,"325,090","100,151","143,878"
052124,大仙市,中仙地域,2014年(平成26),25,428,"311,682","97,385","148,200"
052124,大仙市,協和地域,1991年(平成3),16,653,"589,306","138,200","224,916"
052124,大仙市,協和地域,1992年(平成4),17,662,"559,845","148,151","193,794"
052124,大仙市,協和地域,1993年(平成5),17,631,"548,157","148,892","205,696"
052124,大仙市,協和地域,1994年(平成6),16,617,"571,190","155,178","210,443"
052124,大仙市,協和地域,1995年(平成7),15,535,"501,485","139,997","191,395"
052124,大仙市,協和地域,1996年(平成8),16,606,"567,608","152,030","216,657"
052124,大仙市,協和地域,1997年(平成9）,16,605,"547,866","164,445","213,411"
052124,大仙市,協和地域,1998年(平成10),19,557,"538,379","149,716","225,030"
052124,大仙市,協和地域,1999年(平成11),17,496,"495,724","142,789","222,109"
052124,大仙市,協和地域,2000年(平成12),18,510,"480,766","136,960","202,671"
052124,大仙市,協和地域,2001年(平成13),15,408,"370,005","106,893","147,284"
052124,大仙市,協和地域,2002年(平成14),14,394,"352,559","104,203","121,208"
052124,大仙市,協和地域,2003年(平成15),14,391,"370,186","107,264","142,340"
052124,大仙市,協和地域,2004年(平成16),15,435,"313,190","94,886","137,842"
052124,大仙市,協和地域,2005年(平成17),17,375,"356,669","99,969","145,806"
052124,大仙市,協和地域,2006年(平成18),16,405,"332,320","112,980","143,687"
052124,大仙市,協和地域,2007年(平成19),15,406,"301,705","97,189","142,730"
052124,大仙市,協和地域,2008年(平成20),17,299,"300,590","98,634","146,595"
052124,大仙市,協和地域,2009年(平成21),15,247,"228,607","64,299","94,152"
052124,大仙市,協和地域,2010年(平成22),15,201,"265,859","60,219","119,538"
052124,大仙市,協和地域,2011年(平成23),,,,,
052124,大仙市,協和地域,2012年(平成24),13,230,"387,599","63,860","250,531"
052124,大仙市,協和地域,2013年(平成25),14,251,"433,229","71,267","263,001"
052124,大仙市,協和地域,2014年(平成26),13,249,"475,047","69,046","300,942"
052124,大仙市,南外地域,1991年(平成3),19,468,"208,547","79,678","68,755"
052124,大仙市,南外地域,1992年(平成4),18,444,"247,185","80,840","93,573"
052124,大仙市,南外地域,1993年(平成5),18,382,"231,554","74,153","101,223"
052124,大仙市,南外地域,1994年(平成6),18,349,"189,742","65,465","83,455"
052124,大仙市,南外地域,1995年(平成7),17,302,"152,049","49,981","64,451"
052124,大仙市,南外地域,1996年(平成8),14,281,"143,582","45,732","59,999"
052124,大仙市,南外地域,1997年(平成9）,14,259,"141,095","46,135","54,050"
052124,大仙市,南外地域,1998年(平成10),17,260,"135,553","46,916","46,636"
052124,大仙市,南外地域,1999年(平成11),15,248,"117,251","42,592","43,085"
052124,大仙市,南外地域,2000年(平成12),16,277,"183,923","54,534","92,274"
052124,大仙市,南外地域,2001年(平成13),14,233,"176,082","50,047","88,503"
052124,大仙市,南外地域,2002年(平成14),11,213,"123,774","40,279","59,623"
052124,大仙市,南外地域,2003年(平成15),12,208,"127,978","39,824","59,348"
052124,大仙市,南外地域,2004年(平成16),10,214,"130,381","39,048","60,719"
052124,大仙市,南外地域,2005年(平成17),12,212,"129,040","41,477","62,193"
052124,大仙市,南外地域,2006年(平成18),11,201,"143,072","42,022","65,374"
052124,大仙市,南外地域,2007年(平成19),10,203,"140,527","40,442","63,078"
052124,大仙市,南外地域,2008年(平成20),11,203,"135,520","39,215","64,159"
052124,大仙市,南外地域,2009年(平成21),9,159,"94,805","32,542","42,320"
052124,大仙市,南外地域,2010年(平成22),9,162,"102,685","32,249","46,459"
052124,大仙市,南外地域,2011年(平成23),,,,,
052124,大仙市,南外地域,2012年(平成24),12,196,"118,004","38,328","51,589"
052124,大仙市,南外地域,2013年(平成25),12,198,"111,721","35,888","48,816"
052124,大仙市,南外地域,2014年(平成26),11,187,"129,794","38,271","57,816"
052124,大仙市,仙北地域,1991年(平成3),43,"1,257","1,520,961","284,504","657,764"
052124,大仙市,仙北地域,1992年(平成4),45,"1,190","1,260,866","277,664","631,106"
052124,大仙市,仙北地域,1993年(平成5),46,"1,201","1,149,839","264,686","592,954"
052124,大仙市,仙北地域,1994年(平成6),47,"1,245","1,474,498","290,482","889,801"
052124,大仙市,仙北地域,1995年(平成7),44,"1,205","1,381,703","303,170","732,170"
052124,大仙市,仙北地域,1996年(平成8),45,"1,262","1,562,049","333,455","645,038"
052124,大仙市,仙北地域,1997年(平成9）,46,"1,322","2,045,001","359,592","1,143,136"
052124,大仙市,仙北地域,1998年(平成10),45,"1,312","2,023,834","344,505","1,247,010"
052124,大仙市,仙北地域,1999年(平成11),39,"1,188","1,611,044","319,411","962,820"
052124,大仙市,仙北地域,2000年(平成12),38,"1,186","1,547,390","320,616","904,559"
052124,大仙市,仙北地域,2001年(平成13),35,"1,084","1,360,902","285,323","838,888"
052124,大仙市,仙北地域,2002年(平成14),32,"1,034","1,296,909","283,664","750,520"
052124,大仙市,仙北地域,2003年(平成15),33,"1,089","1,272,024","294,635","778,272"
052124,大仙市,仙北地域,2004年(平成16),32,973,"1,255,156","283,613","750,753"
052124,大仙市,仙北地域,2005年(平成17),30,944,"1,216,502","269,958","694,177"
052124,大仙市,仙北地域,2006年(平成18),28,960,"1,250,630","281,861","949,275"
052124,大仙市,仙北地域,2007年(平成19),28,898,"1,360,218","291,549","750,745"
052124,大仙市,仙北地域,2008年(平成20),28,855,"1,252,017","252,180","800,266"
052124,大仙市,仙北地域,2009年(平成21),27,796,"897,804","222,317","520,537"
052124,大仙市,仙北地域,2010年(平成22),23,713,"841,261","203,400","511,040"
052124,大仙市,仙北地域,2011年(平成23),,,,,
052124,大仙市,仙北地域,2012年(平成24),22,630,"767,193","189,904","519,861"
052124,大仙市,仙北地域,2013年(平成25),24,690,"792,031","191,188","538,926"
052124,大仙市,仙北地域,2014年(平成26),23,630,"818,756","191,633","471,653"
052124,大仙市,太田地域,1991年(平成3),33,"1,149","1,175,231","240,624","437,425"
052124,大仙市,太田地域,1992年(平成4),32,911,"819,062","246,444","369,419"
052124,大仙市,太田地域,1993年(平成5),36,767,"570,618","159,708","295,055"
052124,大仙市,太田地域,1994年(平成6),36,781,"545,366","174,984","306,570"
052124,大仙市,太田地域,1995年(平成7),32,721,"625,955","176,692","321,317"
052124,大仙市,太田地域,1996年(平成8),32,668,"652,211","162,532","320,307"
052124,大仙市,太田地域,1997年(平成9）,30,631,"555,367","162,911","234,398"
052124,大仙市,太田地域,1998年(平成10),30,694,"652,960","162,039","223,476"
052124,大仙市,太田地域,1999年(平成11),33,717,"823,419","179,287","329,467"
052124,大仙市,太田地域,2000年(平成12),31,711,"840,870","180,881","320,676"
052124,大仙市,太田地域,2001年(平成13),30,696,"762,898","177,995","322,545"
052124,大仙市,太田地域,2002年(平成14),28,823,"666,000","193,572","310,970"
052124,大仙市,太田地域,2003年(平成15),26,879,"742,089","209,664","385,823"
052124,大仙市,太田地域,2004年(平成16),25,777,"750,393","221,243","432,044"
052124,大仙市,太田地域,2005年(平成17),26,788,"820,634","218,642","489,033"
052124,大仙市,太田地域,2006年(平成18),24,842,"784,934","225,593","449,386"
052124,大仙市,太田地域,2007年(平成19),24,836,"829,223","220,817","511,501"
052124,大仙市,太田地域,2008年(平成20),23,783,"846,526","228,870","537,563"
052124,大仙市,太田地域,2009年(平成21),21,649,"684,778","167,687","355,533"
052124,大仙市,太田地域,2010年(平成22),20,664,"852,505","197,702","508,340"
052124,大仙市,太田地域,2011年(平成23),,,,,
052124,大仙市,太田地域,2012年(平成24),17,551,"802,031","188,572","459,384"
052124,大仙市,太田地域,2013年(平成25),17,530,"757,220","173,944","519,197"
052124,大仙市,太田地域,2014年(平成26),16,587,"846,879","179,688","445,827"
,,,,,,,,
