６　　　気　　　　　象,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
（１）秋田市の気象,,,,,,,,,,（２）秋田市と主な都市の気温と降水量,,,,,,,,,,
,　　　　気温（℃）,,,平均湿度,平均風速,日照時間,降水量,最深積雪,,年次,秋田,札幌,仙台,新潟,東京,大阪,広島,福岡,,
年 ・ 月,最低,最高,平均,,,,,,,,,,,,,,,,,
,（極値）,（極値）,,（％）,（ｍ/ｓ）,（ｈ）,（mm）,(cm),,,,,,,,,,,,
６月,12 ,-,-,0 ,2 ,4 ),0 ,,,29,"1,935.0 ","1,158.0 ","1,320.5 ","2,036.5 ","1,430.0 ","1,275.5 ","1,619.5 ","1,318.5 ",,
７月,10 ,-,-,0 ,3 ,6 ,1 ,,,30,"2,016.5 ","1,282.0 ","1,082.0 ","1,795.5 ","1,445.5 ","1,651.5 ","1,878.5 ","1,617.0 ",,
８月,17 ,-,-,0 ,2 ,10 ),0 ,,,令和元年,"1,566.5 ",814.0 ,"1,389.5 ","1,352.0 ","1,874.0 ","1,219.0 ","1,381.5 ","1,608.5 ",,
９月,7 ,-,-,0 ,1 ,3 ),0 ,,,２,"2,022.5 ",905.0 ,"1,247.0 ","2,077.5 ","1,590.0 ","1,521.5 ","2,026.5 ","2,212.5 ",,
10月,10 ,-,-,0 ,2 ,3 ,0 ,,,３,"1,916.5 ","1,089.0 ","1,183.0 ","1,952.0 ","2,052.5 ","2,014.5 ","2,267.0 ","1,979.0 ",,
11月,18 ,-,-,1 ,1 ,8 ,0 ,,,４,"1,862.0 ","1,154.0 ","1,224.5 ","2,002.0 ","1,615.5 ","1,058.0 ","1,212.5 ","1,232.5 ",,
12月,21 ,-,-,27 ,2 ,9 ,0 ,,,　資料　秋田地方気象台（秋田地方気象台における観測値）,,,,,,,,,,
　資料　秋田地方気象台（秋田地方気象台における観測値）,,,,,,,,,,  　注）８　資料は後日修正されることがある。,,,,,,,,,,
　　注）３　年の最深積雪及び雪日数は前年8月から当年7月の年をまたいだ寒候年での値。,,,,,,,,,,,,,,,,,,,,
　　　　４　地震（震度１以上）は、秋田地方気象台で観測した回数である。,,,,,,,,,,,,,,,,,,,,
　　　　５　資料は後日修正されることがある。,,,,,,,,,,,,,,,,,,,,
　　　　６　雲量の観測は目視観測の自動化に伴い、令和２年２月で終了している。,,,,,,,,,,,,,,,,,,,,
　　　　７　現象日数（雪、霧、雷）は令和２年２月から自動観測となっている。,,,,,,,,,,,,,,,,,,,,
