市町村コード,都道府県名,市町村名,地域,年度,年齢5歳階級,全産業(人),農業(人),林業(人),漁業(人),鉱業，採石業，砂利採取業(人),建設業(人),製造業(人),電気・ガス・熱供給・水道業(人),情報通信業(人),運輸業，郵便業(人),卸売業，小売業(人),金融業，保険業(人),不動産業，物品賃貸業(人),宿泊業・飲食サービス業(人),医療，福祉(人),教育，学習支援業(人),学術研究，専門・技術サービス業,複合サービス業(人),生活関連サービス業，娯楽業,サービス業（他に分類されないもの）(人),公務（他に分類されるものを除く）(人),分類不能の産業(人)
052124,秋田県,大仙市,全域,2020,15-19歳,263,6,1,0,0,35,65,4,0,3,45,2,0,22,15,6,5,7,12,6,23,6
052124,秋田県,大仙市,全域,2020,20-24歳,1435,33,13,0,1,147,279,11,12,21,238,28,7,74,253,55,23,38,38,37,102,25
052124,秋田県,大仙市,全域,2020,25-29歳,2170,69,6,0,4,216,349,27,15,39,356,45,17,76,471,83,44,45,67,77,148,16
052124,秋田県,大仙市,全域,2020,30-34歳,2707,120,6,0,2,246,502,15,24,62,421,53,30,93,562,110,41,64,105,98,141,12
052124,秋田県,大仙市,全域,2020,35-39歳,3482,159,15,0,4,341,573,21,23,90,567,40,40,133,742,142,73,68,134,152,147,18
052124,秋田県,大仙市,全域,2020,40-44歳,4129,166,16,0,2,496,609,38,22,133,641,65,40,152,739,221,115,107,141,196,209,21
052124,秋田県,大仙市,全域,2020,45-49歳,4003,150,15,0,11,489,626,30,16,157,635,67,37,142,609,259,98,104,114,169,245,30
052124,秋田県,大仙市,全域,2020,50-54歳,3783,121,13,0,8,364,696,35,22,177,563,94,32,149,532,260,109,126,143,161,164,14
052124,秋田県,大仙市,全域,2020,55-59歳,4417,214,13,0,11,439,810,19,25,205,668,70,36,148,690,321,95,100,151,189,201,12
052124,秋田県,大仙市,全域,2020,60-64歳,4491,551,10,1,17,604,577,10,21,186,616,44,35,198,678,158,131,84,129,267,154,20
052124,秋田県,大仙市,全域,2020,65-69歳,4015,1087,15,2,13,603,317,10,3,101,538,27,34,172,421,76,88,28,163,241,48,28
052124,秋田県,大仙市,全域,2020,70-74歳,2687,1069,4,1,12,380,154,3,0,50,267,14,35,110,166,40,42,22,108,182,12,16
052124,秋田県,大仙市,全域,2020,75-79歳,1000,508,2,0,1,74,51,1,1,13,104,7,13,36,20,10,8,3,73,59,0,16
052124,秋田県,大仙市,全域,2020,80-84歳,525,300,1,0,0,27,18,0,0,2,78,1,8,23,8,3,2,1,36,14,0,3
052124,秋田県,大仙市,全域,2020,85歳以上,214,116,0,0,0,9,6,0,0,0,30,0,3,9,5,1,7,0,5,8,0,15
