市町村コード,都道府県名,市町村名,地域,公民館名,年度,利用回数,利用者数
052124,秋田県,大仙市,西仙北地域,西仙北中央公民館,2012(平成24）,"1,097","24,029"
052124,秋田県,大仙市,西仙北地域,西仙北中央公民館,2013(平成25）,982,"19,425"
052124,秋田県,大仙市,西仙北地域,西仙北中央公民館,2014(平成26）,"1,132","18,359"
052124,秋田県,大仙市,西仙北地域,西仙北中央公民館,2015(平成27）,"1,173","19,376"
052124,秋田県,大仙市,西仙北地域,西仙北中央公民館,2016(平成28）,"1,309","22,322"
052124,秋田県,大仙市,西仙北地域,西仙北中央公民館,2017(平成29）,"1,272","19,512"
052124,秋田県,大仙市,西仙北地域,西仙北中央公民館,2018(平成30）,0,0
052124,秋田県,大仙市,西仙北地域,西仙北中央公民館,2019(令和1）,0,0
052124,秋田県,大仙市,西仙北地域,西仙北中央公民館,2020(令和2）,-,-
052124,秋田県,大仙市,西仙北地域,西仙北中央公民館,2021(令和3）,-,-
052124,秋田県,大仙市,西仙北地域,大綱交流館,2005(平成17),-,-
052124,秋田県,大仙市,西仙北地域,大綱交流館,2006(平成18）,-,-
052124,秋田県,大仙市,西仙北地域,大綱交流館,2007(平成19）,-,-
052124,秋田県,大仙市,西仙北地域,大綱交流館,2008(平成20）,-,-
052124,秋田県,大仙市,西仙北地域,大綱交流館,2009(平成21）,-,-
052124,秋田県,大仙市,西仙北地域,大綱交流館,2010(平成22）,-,-
052124,秋田県,大仙市,西仙北地域,大綱交流館,2011(平成23）,-,-
052124,秋田県,大仙市,西仙北地域,大綱交流館,2012(平成24）,-,-
052124,秋田県,大仙市,西仙北地域,大綱交流館,2013(平成25）,-,-
052124,秋田県,大仙市,西仙北地域,大綱交流館,2014(平成26）,-,-
052124,秋田県,大仙市,西仙北地域,大綱交流館,2015(平成27）,-,-
052124,秋田県,大仙市,西仙北地域,大綱交流館,2016(平成28）,-,-
052124,秋田県,大仙市,西仙北地域,大綱交流館,2017(平成29）,-,-
052124,秋田県,大仙市,西仙北地域,大綱交流館,2018(平成30）,-,-
052124,秋田県,大仙市,西仙北地域,大綱交流館,2019(令和1）,-,-
052124,秋田県,大仙市,西仙北地域,大綱交流館,2020(令和2）,279,"5,809"
052124,秋田県,大仙市,西仙北地域,大綱交流館,2021(令和3）,"1,117","9,861"
052124,秋田県,大仙市,西仙北地域,刈和野地区公民館,2005(平成17),-,-
052124,秋田県,大仙市,西仙北地域,刈和野地区公民館,2006(平成18）,-,-
052124,秋田県,大仙市,西仙北地域,刈和野地区公民館,2007(平成19）,-,-
052124,秋田県,大仙市,西仙北地域,刈和野地区公民館,2008(平成20）,-,-
052124,秋田県,大仙市,西仙北地域,刈和野地区公民館,2009(平成21）,-,-
052124,秋田県,大仙市,西仙北地域,刈和野地区公民館,2010(平成22）,-,-
052124,秋田県,大仙市,西仙北地域,刈和野地区公民館,2011(平成23）,-,-
052124,秋田県,大仙市,西仙北地域,刈和野地区公民館,2012(平成24）,-,-
052124,秋田県,大仙市,西仙北地域,刈和野地区公民館,2013(平成25）,-,-
052124,秋田県,大仙市,西仙北地域,刈和野地区公民館,2014(平成26）,-,-
052124,秋田県,大仙市,西仙北地域,刈和野地区公民館,2015(平成27）,-,-
052124,秋田県,大仙市,西仙北地域,刈和野地区公民館,2016(平成28）,233,"3,891"
052124,秋田県,大仙市,西仙北地域,刈和野地区公民館,2017(平成29）,218,"3,404"
052124,秋田県,大仙市,西仙北地域,刈和野地区公民館,2018(平成30）,453,"6,856"
052124,秋田県,大仙市,西仙北地域,刈和野地区公民館,2019(令和1）,755,"10,467"
052124,秋田県,大仙市,西仙北地域,刈和野地区公民館,2020(令和2）,266,"2,445"
052124,秋田県,大仙市,西仙北地域,刈和野地区公民館,2021(令和3）,216,"1,371"
052124,秋田県,大仙市,西仙北地域,土川地区公民館,2005(平成17),485,"7,776"
052124,秋田県,大仙市,西仙北地域,土川地区公民館,2006(平成18）,315,"7,420"
052124,秋田県,大仙市,西仙北地域,土川地区公民館,2007(平成19）,426,"7,288"
052124,秋田県,大仙市,西仙北地域,土川地区公民館,2008(平成20）,388,"5,950"
052124,秋田県,大仙市,西仙北地域,土川地区公民館,2009(平成21）,333,"6,713"
052124,秋田県,大仙市,西仙北地域,土川地区公民館,2010(平成22）,333,"5,596"
052124,秋田県,大仙市,西仙北地域,土川地区公民館,2011(平成23）,309,"5,085"
052124,秋田県,大仙市,西仙北地域,土川地区公民館,2012(平成24）,240,"4,247"
052124,秋田県,大仙市,西仙北地域,土川地区公民館,2013(平成25）,266,"4,357"
052124,秋田県,大仙市,西仙北地域,土川地区公民館,2014(平成26）,245,"3,575"
052124,秋田県,大仙市,西仙北地域,土川地区公民館,2015(平成27）,320,"4,813"
052124,秋田県,大仙市,西仙北地域,土川地区公民館,2016(平成28）,254,"4,003"
052124,秋田県,大仙市,西仙北地域,土川地区公民館,2017(平成29）,230,"3,740"
052124,秋田県,大仙市,西仙北地域,土川地区公民館,2018(平成30）,280,"3,821"
052124,秋田県,大仙市,西仙北地域,土川地区公民館,2019(令和1）,308,"3,934"
052124,秋田県,大仙市,西仙北地域,土川地区公民館,2020(令和2）,147,"1,631"
052124,秋田県,大仙市,西仙北地域,土川地区公民館,2021(令和3）,159,"1,736"
052124,秋田県,大仙市,西仙北地域,強首地区公民館,2005(平成17),326,"5,804"
052124,秋田県,大仙市,西仙北地域,強首地区公民館,2006(平成18）,317,"4,918"
052124,秋田県,大仙市,西仙北地域,強首地区公民館,2007(平成19）,327,"5,558"
