市町村コード,都道府県名,市町村名,地域,年度,区分,施設名,利用者数（人）,補足
052124,秋田県,大仙市,大曲地域,2014(平成26）,テニスコート,大仙市総合公園テニスコート,"25,139",
052124,秋田県,大仙市,大曲地域,2015(平成27）,テニスコート,大仙市総合公園テニスコート,"26,585",
052124,秋田県,大仙市,大曲地域,2016(平成28）,テニスコート,大仙市総合公園テニスコート,"26,043",
052124,秋田県,大仙市,大曲地域,2017(平成29）,テニスコート,大仙市総合公園テニスコート,"28,765",
052124,秋田県,大仙市,大曲地域,2018(平成30）,テニスコート,大仙市総合公園テニスコート,"26,144",
052124,秋田県,大仙市,大曲地域,2019(令和1）,テニスコート,大仙市総合公園テニスコート,"22,323",
052124,秋田県,大仙市,大曲地域,2020(令和2）,テニスコート,大仙市総合公園テニスコート,"14,960",
052124,秋田県,大仙市,大曲地域,2021(令和3）,テニスコート,大仙市総合公園テニスコート,"15,281",
052124,秋田県,大仙市,大曲地域,2006(平成18）,スキー場,大曲スキー場,"1,762",
052124,秋田県,大仙市,大曲地域,2007(平成19）,スキー場,大曲スキー場,"3,863",
052124,秋田県,大仙市,大曲地域,2008(平成20）,スキー場,大曲スキー場,"9,305",
052124,秋田県,大仙市,大曲地域,2009(平成21）,スキー場,大曲スキー場,"13,608",
052124,秋田県,大仙市,大曲地域,2010(平成22）,スキー場,大曲スキー場,"8,919",
052124,秋田県,大仙市,大曲地域,2011(平成23）,スキー場,大曲スキー場,"8,661",
052124,秋田県,大仙市,大曲地域,2012(平成24）,スキー場,大曲スキー場,"13,267",
052124,秋田県,大仙市,大曲地域,2013(平成25）,スキー場,大曲スキー場,"12,722",
052124,秋田県,大仙市,大曲地域,2014(平成26）,スキー場,大曲スキー場,"13,055",
052124,秋田県,大仙市,大曲地域,2015(平成27）,スキー場,大曲スキー場,"8,509",
052124,秋田県,大仙市,大曲地域,2016(平成28）,スキー場,大曲スキー場,"7,126",
052124,秋田県,大仙市,大曲地域,2017(平成29）,スキー場,大曲スキー場,"9,721",
052124,秋田県,大仙市,大曲地域,2018(平成30）,スキー場,大曲スキー場,"9,807",
052124,秋田県,大仙市,大曲地域,2019(令和1）,スキー場,大曲スキー場,0,雪不足による早期営業終了のため利用者なし
052124,秋田県,大仙市,大曲地域,2020(令和2）,スキー場,大曲スキー場,"9,506",
052124,秋田県,大仙市,大曲地域,2021(令和3）,スキー場,大曲スキー場,"8,532",
052124,秋田県,大仙市,大曲地域,2006(平成18）,グラウンド・ゴルフ場,大仙市総合公園多目的広場,-,データなし
052124,秋田県,大仙市,大曲地域,2007(平成19）,グラウンド・ゴルフ場,大仙市総合公園多目的広場,-,データなし
052124,秋田県,大仙市,大曲地域,2008(平成20）,グラウンド・ゴルフ場,大仙市総合公園多目的広場,-,データなし
052124,秋田県,大仙市,大曲地域,2009(平成21）,グラウンド・ゴルフ場,大仙市総合公園多目的広場,"3,500",
052124,秋田県,大仙市,大曲地域,2010(平成22）,グラウンド・ゴルフ場,大仙市総合公園多目的広場,"2,273",
052124,秋田県,大仙市,大曲地域,2011(平成23）,グラウンド・ゴルフ場,大仙市総合公園多目的広場,"2,437",
052124,秋田県,大仙市,大曲地域,2012(平成24）,グラウンド・ゴルフ場,大仙市総合公園多目的広場,"2,625",
