市町村コード,都道府県名,市町村名,地域,公民館名,年度,利用回数（回）,利用者数（人）,,,,,
05212,秋田県,大仙市,神岡地域,神岡中央公民館,2013(平成25）,720 ,"10,403 ",,,,,
05212,秋田県,大仙市,神岡地域,神岡中央公民館,2014(平成26）,748 ,"11,078 ",,,,,
05212,秋田県,大仙市,神岡地域,神岡中央公民館,2015(平成27）,616 ,"9,274 ",,,,,
05212,秋田県,大仙市,神岡地域,神岡中央公民館,2016(平成28）,541 ,"7,908 ",,,,,
05212,秋田県,大仙市,神岡地域,神岡中央公民館,2017(平成29）,398 ,"7,770 ",,,,,
05212,秋田県,大仙市,神岡地域,神岡中央公民館,2018(平成30）,457 ,"9,205 ",,,,,
05212,秋田県,大仙市,神岡地域,神岡中央公民館,2019(令和1）,399 ,"6,127 ",,,,,
05212,秋田県,大仙市,神岡地域,神岡中央公民館,2020(令和2）,372 ,"4,358 ",,,,,
05212,秋田県,大仙市,神岡地域,北楢岡公民館,2005(平成17),413 ,"6,308 ",,,,,
05212,秋田県,大仙市,神岡地域,北楢岡公民館,2006(平成18）,315 ,"2,730 ",,,,,
05212,秋田県,大仙市,神岡地域,北楢岡公民館,2007(平成19）,706 ,"8,675 ",,,,,
05212,秋田県,大仙市,神岡地域,北楢岡公民館,2008(平成20）,638 ,"9,252 ",,,,,
05212,秋田県,大仙市,神岡地域,北楢岡公民館,2009(平成21）,724 ,"9,282 ",,,,,
05212,秋田県,大仙市,神岡地域,北楢岡公民館,2010(平成22）,733 ,"8,695 ",,,,,
05212,秋田県,大仙市,神岡地域,北楢岡公民館,2011(平成23）,669 ,"8,670 ",,,,,
05212,秋田県,大仙市,神岡地域,北楢岡公民館,2012(平成24）,770 ,"8,719 ",,,,,
05212,秋田県,大仙市,神岡地域,北楢岡公民館,2013(平成25）,618 ,"8,765 ",,,,,
05212,秋田県,大仙市,神岡地域,北楢岡公民館,2014(平成26）,668 ,"9,589 ",,,,,
05212,秋田県,大仙市,神岡地域,北楢岡公民館,2015(平成27）,729 ,"10,364 ",,,,,
05212,秋田県,大仙市,神岡地域,北楢岡公民館,2016(平成28）,873 ,"9,772 ",,,,,
05212,秋田県,大仙市,神岡地域,北楢岡公民館,2017(平成29）,955 ,"11,481 ",,,,,
05212,秋田県,大仙市,神岡地域,北楢岡公民館,2018(平成30）,838 ,"10,515 ",,,,,
05212,秋田県,大仙市,神岡地域,北楢岡公民館,2019(令和1）,766 ,"10,124 ",,,,,
05212,秋田県,大仙市,神岡地域,北楢岡公民館,2020(令和2）,687 ,"8,296 ",,,,,
05212,秋田県,大仙市,神岡地域,神岡中央公民館蒲分館,2005(平成17),94 ,"2,098 ",,,,,
05212,秋田県,大仙市,神岡地域,神岡中央公民館蒲分館,2006(平成18）,114 ,"1,992 ",,,,,
05212,秋田県,大仙市,神岡地域,神岡中央公民館蒲分館,2007(平成19）,85 ,"1,918 ",,,,,
05212,秋田県,大仙市,神岡地域,神岡中央公民館蒲分館,2008(平成20）,56 ,"1,411 ",,,,,
05212,秋田県,大仙市,神岡地域,神岡中央公民館蒲分館,2009(平成21）,51 ,"1,206 ",,,,,
05212,秋田県,大仙市,神岡地域,神岡中央公民館蒲分館,2010(平成22）,72 ,912 ,,,,,
05212,秋田県,大仙市,神岡地域,神岡中央公民館蒲分館,2011(平成23）,-,-,,,,,
05212,秋田県,大仙市,神岡地域,神岡中央公民館蒲分館,2012(平成24）,-,-,,,,,
05212,秋田県,大仙市,神岡地域,神岡中央公民館蒲分館,2013(平成25）,-,-,,,,,
05212,秋田県,大仙市,神岡地域,神岡中央公民館蒲分館,2014(平成26）,-,-,,,,,
05212,秋田県,大仙市,神岡地域,神岡中央公民館蒲分館,2015(平成27）,-,-,,,,,
05212,秋田県,大仙市,神岡地域,神岡中央公民館蒲分館,2016(平成28）,-,-,,,,,
05212,秋田県,大仙市,神岡地域,神岡中央公民館蒲分館,2017(平成29）,-,-,,,,,
05212,秋田県,大仙市,神岡地域,神岡中央公民館蒲分館,2018(平成30）,-,-,,,,,
05212,秋田県,大仙市,神岡地域,神岡中央公民館蒲分館,2019(令和1）,-,-,,,,,
05212,秋田県,大仙市,神岡地域,神岡中央公民館蒲分館,2020(令和2）,-,-,,,,,
05212,秋田県,大仙市,神岡地域,神岡中央公民館神清水分館,2005(平成17),244 ,"4,003 ",,,,,
05212,秋田県,大仙市,神岡地域,神岡中央公民館神清水分館,2006(平成18）,368 ,"6,042 ",,,,,
05212,秋田県,大仙市,神岡地域,神岡中央公民館神清水分館,2007(平成19）,251 ,"6,693 ",,,,,
05212,秋田県,大仙市,神岡地域,神岡中央公民館神清水分館,2008(平成20）,212 ,"5,475 ",,,,,
05212,秋田県,大仙市,神岡地域,神岡中央公民館神清水分館,2009(平成21）,160 ,"2,537 ",,,,,
05212,秋田県,大仙市,神岡地域,神岡中央公民館神清水分館,2010(平成22）,295 ,"3,348 ",,,,,
05212,秋田県,大仙市,神岡地域,神岡中央公民館神清水分館,2011(平成23）,268 ,"2,211 ",,,,,
05212,秋田県,大仙市,神岡地域,神岡中央公民館神清水分館,2012(平成24）,256 ,"2,013 ",,,,,
05212,秋田県,大仙市,神岡地域,神岡中央公民館神清水分館,2013(平成25）,336 ,"2,462 ",,,,,
05212,秋田県,大仙市,神岡地域,神岡中央公民館神清水分館,2014(平成26）,388 ,"2,766 ",,,,,
05212,秋田県,大仙市,神岡地域,神岡中央公民館神清水分館,2015(平成27）,409 ,"2,743 ",,,,,
05212,秋田県,大仙市,神岡地域,神岡中央公民館神清水分館,2016(平成28）,387 ,"2,411 ",,,,,
05212,秋田県,大仙市,神岡地域,神岡中央公民館神清水分館,2017(平成29）,365 ,"2,698 ",,,,,
05212,秋田県,大仙市,神岡地域,神岡中央公民館神清水分館,2018(平成30）,396 ,"2,319 ",,,,,
05212,秋田県,大仙市,神岡地域,神岡中央公民館神清水分館,2019(令和1）,371 ,"1,932 ",,,,,
05212,秋田県,大仙市,神岡地域,神岡中央公民館神清水分館,2020(令和2）,300 ,"1,454 ",,,,,
05212,秋田県,大仙市,西仙北地域,西仙北中央公民館,2005(平成17),926 ,"24,134 ",,,,,
05212,秋田県,大仙市,西仙北地域,西仙北中央公民館,2006(平成18）,877 ,"19,103 ",,,,,
05212,秋田県,大仙市,西仙北地域,西仙北中央公民館,2007(平成19）,921 ,"17,633 ",,,,,
05212,秋田県,大仙市,西仙北地域,西仙北中央公民館,2008(平成20）,841 ,"16,983 ",,,,,
05212,秋田県,大仙市,西仙北地域,西仙北中央公民館,2009(平成21）,899 ,"18,890 ",,,,,
05212,秋田県,大仙市,西仙北地域,西仙北中央公民館,2010(平成22）,884 ,"17,182 ",,,,,
05212,秋田県,大仙市,西仙北地域,西仙北中央公民館,2011(平成23）,880 ,"18,428 ",,,,,
05212,秋田県,大仙市,西仙北地域,西仙北中央公民館,2012(平成24）,"1,097 ","24,029 ",,,,,
05212,秋田県,大仙市,西仙北地域,西仙北中央公民館,2013(平成25）,982 ,"19,425 ",,,,,
05212,秋田県,大仙市,西仙北地域,西仙北中央公民館,2014(平成26）,"1,132 ","18,359 ",,,,,
05212,秋田県,大仙市,西仙北地域,西仙北中央公民館,2015(平成27）,"1,173 ","19,376 ",,,,,
05212,秋田県,大仙市,西仙北地域,西仙北中央公民館,2016(平成28）,"1,309 ","22,322 ",,,,,
05212,秋田県,大仙市,西仙北地域,西仙北中央公民館,2017(平成29）,"1,272 ","19,512 ",,,,,
05212,秋田県,大仙市,西仙北地域,西仙北中央公民館,2018(平成30）,0 ,0 ,,,,,
05212,秋田県,大仙市,西仙北地域,西仙北中央公民館,2019(令和1）,0 ,0 ,,,,,
05212,秋田県,大仙市,西仙北地域,西仙北中央公民館,2020(令和2）,-,-,,,,,
05212,秋田県,大仙市,西仙北地域,大綱交流館,2005(平成17),-,-,,,,,
05212,秋田県,大仙市,西仙北地域,大綱交流館,2006(平成18）,-,-,,,,,
05212,秋田県,大仙市,西仙北地域,大綱交流館,2007(平成19）,-,-,,,,,
