市町村コード,都道府県名,市町村名,地域,年,1月（人）,2月（人）,3月（人）,4月（人）,5月（人）,6月（人）,7月（人）,8月（人）,9月（人）,10月（人）,11月（人）,12月（人）,計（人）
052124,秋田県,大仙市,中仙地域,2019（平成31）,8,9,11,41,34,21,18,28,29,21,15,10,250
052124,秋田県,大仙市,中仙地域,2020（令和2）,10,10,9,6,6,12,15,18,18,20,15,10,157
052124,秋田県,大仙市,中仙地域,2021（令和3）,7,9,11,26,17,13,14,16,12,17,13,10,171
052124,秋田県,大仙市,協和地域,2005（平成17）,20,45,47,53,90,57,70,86,62,69,48,28,680
052124,秋田県,大仙市,協和地域,2006（平成18）,24,24,21,27,43,33,43,44,35,41,29,15,384
052124,秋田県,大仙市,協和地域,2007（平成19）,19,20,18,30,37,32,39,42,35,42,26,14,361
052124,秋田県,大仙市,協和地域,2008（平成20）,24,25,21,32,37,30,38,38,34,42,27,16,364
052124,秋田県,大仙市,協和地域,2009（平成21）,26,23,20,29,36,29,36,40,37,45,30,18,369
052124,秋田県,大仙市,協和地域,2010（平成22）,34,32,23,30,47,33,40,42,36,42,28,16,403
052124,秋田県,大仙市,協和地域,2011（平成23）,31,29,15,22,40,30,41,39,33,42,29,18,369
052124,秋田県,大仙市,協和地域,2012（平成24）,35,28,20,25,40,31,36,40,33,36,25,18,367
052124,秋田県,大仙市,協和地域,2013（平成25）,33,28,20,25,44,34,35,38,34,39,31,19,380
052124,秋田県,大仙市,協和地域,2014（平成26）,39,29,25,32,43,33,40,41,38,41,28,19,408
052124,秋田県,大仙市,協和地域,2015（平成27）,38,29,24,33,43,33,40,40,39,40,26,15,405
052124,秋田県,大仙市,協和地域,2016（平成28）,34,28,24,35,42,32,42,38,36,41,26,14,392
052124,秋田県,大仙市,協和地域,2017（平成29）,30,24,23,31,41,30,39,37,34,37,24,15,371
052124,秋田県,大仙市,協和地域,2018（平成30）,25,22,18,27,30,27,35,33,31,36,25,22,336
052124,秋田県,大仙市,協和地域,2019（平成31）,30,28,22,33,38,33,41,40,37,38,28,17,392
052124,秋田県,大仙市,協和地域,2020（令和2）,14,14,16,13,16,23,27,32,32,36,27,14,269
052124,秋田県,大仙市,協和地域,2021（令和3）,17,17,14,23,26,23,24,27,28,32,22,12,271
052124,秋田県,大仙市,南外地域,2005（平成17）,2,1,2,2,2,2,2,2,2,2,2,2,26
052124,秋田県,大仙市,南外地域,2006（平成18）,2,2,3,3,3,2,3,3,2,2,2,2,35
052124,秋田県,大仙市,南外地域,2007（平成19）,2,3,3,3,4,4,3,3,2,3,3,2,41
052124,秋田県,大仙市,南外地域,2008（平成20）,3,3,3,3,3,4,3,3,3,3,3,3,37
052124,秋田県,大仙市,南外地域,2009（平成21）,4,3,4,3,4,4,3,3,3,3,3,3,40
052124,秋田県,大仙市,南外地域,2010（平成22）,3,3,4,3,4,4,3,3,3,3,3,3,39
052124,秋田県,大仙市,南外地域,2011（平成23）,3,3,4,3,4,3,3,3,3,3,3,3,38
052124,秋田県,大仙市,南外地域,2012（平成24）,3,3,4,3,4,3,3,4,3,3,3,3,39
052124,秋田県,大仙市,南外地域,2013（平成25）,4,3,4,3,4,4,3,4,3,3,3,3,41
052124,秋田県,大仙市,南外地域,2014（平成26）,3,3,4,3,4,4,3,4,3,4,3,3,41
052124,秋田県,大仙市,南外地域,2015（平成27）,3,3,3,3,3,5,3,3,2,3,3,3,41
052124,秋田県,大仙市,南外地域,2016（平成28）,3,4,4,3,3,6,3,3,3,3,3,3,41
052124,秋田県,大仙市,南外地域,2017（平成29）,3,3,3,3,3,4,2,3,2,3,3,3,39
052124,秋田県,大仙市,南外地域,2018（平成30）,3,2,4,3,3,5,2,3,3,2,2,2,39
052124,秋田県,大仙市,南外地域,2019（平成31）,3,2,3,3,3,6,2,3,2,4,4,4,43
052124,秋田県,大仙市,南外地域,2020（令和2）,4,4,4,2,2,3,3,3,3,4,4,3,44
052124,秋田県,大仙市,南外地域,2021（令和3）,3,3,4,3,4,3,3,3,3,4,3,3,44
052124,秋田県,大仙市,仙北地域,2005（平成17）,11,7,9,9,11,12,9,21,11,13,17,10,145
052124,秋田県,大仙市,仙北地域,2006（平成18）,11,10,9,8,11,13,10,19,10,11,16,8,140
052124,秋田県,大仙市,仙北地域,2007（平成19）,8,2,3,10,15,10,11,19,13,13,14,8,132
052124,秋田県,大仙市,仙北地域,2008（平成20）,12,9,9,9,9,13,9,13,11,10,14,8,126
052124,秋田県,大仙市,仙北地域,2009（平成21）,11,8,8,8,10,11,9,14,9,9,15,7,119
052124,秋田県,大仙市,仙北地域,2010（平成22）,10,8,8,7,9,10,8,12,8,9,14,8,111
