年度,産業大分類,民営事業所数(所),従業者数(人),うち男性(人),1～4人の事業所数(所),従業者数(人),うち男性(人),5～9人の事業所数(所),従業者数(人),うち男性(人),10～19人の事業所数(所),従業者数(人),うち男性(人),20～29人の事業所数(所),従業者数(人),うち男性(人),30人以上の事業所数(所),従業者数(人),うち男性(人),出向・派遣従業者のみの事業所(所),従業者数(人),うち男性(人),,,,,,
2016,農業，林業,81,852,665,18,46,37,31,221,170,22,309,239,6,132,99,4,144,120,-,-,-,-,-,-,,,
2016,漁業,3,20,19,2,4,4,-,-,-,1,16,15,-,-,-,-,-,-,-,-,-,-,-,-,,,
2016,鉱業，採石業，砂利採取業,8,113,97,3,8,6,1,8,6,1,14,12,2,53,46,1,30,27,-,-,-,-,-,-,,,
2016,建設業,512,4047,3502,251,576,488,131,852,706,85,1143,986,27,628,562,12,423,375,5,312,280,1,113,105,,,
2016,製造業,341,5332,2902,132,311,201,79,537,285,53,739,386,25,595,284,26,960,423,20,1387,736,5,803,587,,,
2016,電気・ガス・熱供給・水道業,4,180,159,1,3,1,-,-,-,-,-,-,-,-,-,1,30,29,2,147,129,-,-,-,,,
2016,情報通信業,14,51,34,10,23,13,2,14,9,1,14,12,-,-,-,-,-,-,-,-,-,-,-,-,,,
2016,運輸業，郵便業,78,1113,974,16,33,27,22,151,125,19,270,241,12,282,251,7,264,234,2,113,96-,-,-,-,,,
2016,卸売業，小売業,1116,7249,3530,729,1565,750,238,1564,811,134,1754,967,24,579,315,16,603,377,12,876,237,2,308,73,,,
2016,金融業，保険業,74,604,217,26,60,33,30,193,81,8,100,37,3,81,14,5,170,52,-,-,-,-,-,-,,,
2016,不動産業，物品賃貸業,97,630,319,76,148,82,10,59,41,5,65,34,1,23,12,3,106,55,-,-,-,1,229,95,,,
2016,学術研究，専門・技術サービス業,129,804,534,83,177,115,27,173,96,14,194,131,-,-,-,3,115,94,2,145,98,-,-,-,,,
2016,宿泊業，飲食サービス業,445,2310,778,299,627,197,90,576,192,36,486,177,13,293,86,4,171,70,2,157,56,-,-,-,,,
2016,生活関連サービス業，娯楽業,573,1667,608,507,749,152,28,192,69,26,369,166,7,158,89,2,79,35,2,120,97,-,-,-,,,
2016,教育，学習支援業,73,515,156,51,86,33,7,47,16,7,84,42,3,79,26,4,160,33,1,59,6,-,-,-,,,
2016,医療，福祉,290,5636,1436,95,217,99,59,421,102,72,998,240,27,652,111,19,765,200,13,882,242,5,1701,442,,,
2016,複合サービス事業,54,668,406,33,91,39,8,46,24,9,124,52,2,48,16,-,-,-,-,-,-,2,359,275,,,
2016,サービス業(他に分類されないもの),281,1885,1313,220,448,306,26,162,126,16,202,120,4,86,72,9,330,261,1,73,30,3,584,398,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
