市町村コード,都道府県名,市町村名,年度,財源区分,歳入項目,決算額（千円）
052124,秋田県,大仙市,2019(令和1）,自主財源,諸収入,1610724
052124,秋田県,大仙市,2019(令和1）,依存財源,地方譲与税,805038
052124,秋田県,大仙市,2019(令和1）,依存財源,利子割交付金,5863
052124,秋田県,大仙市,2019(令和1）,依存財源,配当割交付金,15372
052124,秋田県,大仙市,2019(令和1）,依存財源,株式等譲渡取得割交付金,9329
052124,秋田県,大仙市,2019(令和1）,依存財源,法人事業税交付金,
052124,秋田県,大仙市,2019(令和1）,依存財源,地方消費税交付金,1500090
052124,秋田県,大仙市,2019(令和1）,依存財源,ゴルフ場利用税交付金,13292
052124,秋田県,大仙市,2019(令和1）,依存財源,自動車取得税交付金,106098
052124,秋田県,大仙市,2019(令和1）,依存財源,環境性能割交付金,14411
052124,秋田県,大仙市,2019(令和1）,依存財源,地方特例交付金,113002
052124,秋田県,大仙市,2019(令和1）,依存財源,地方交付税,18159924
052124,秋田県,大仙市,2019(令和1）,依存財源,交通安全対策特別交付金,10625
052124,秋田県,大仙市,2019(令和1）,依存財源,国庫支出金,5373517
052124,秋田県,大仙市,2019(令和1）,依存財源,県支出金,3679828
052124,秋田県,大仙市,2019(令和1）,依存財源,市債,4044038
052124,秋田県,大仙市,2020(令和2）,自主財源,市税,8062972
052124,秋田県,大仙市,2020(令和2）,自主財源,分担金・負担金,59841
052124,秋田県,大仙市,2020(令和2）,自主財源,使用料・手数料,478495
052124,秋田県,大仙市,2020(令和2）,自主財源,財産収入,148334
052124,秋田県,大仙市,2020(令和2）,自主財源,寄付金（含む繰入金),1580238
052124,秋田県,大仙市,2020(令和2）,自主財源,繰越金,1637049
052124,秋田県,大仙市,2020(令和2）,自主財源,諸収入,1712414
052124,秋田県,大仙市,2020(令和2）,依存財源,地方譲与税,819977
052124,秋田県,大仙市,2020(令和2）,依存財源,利子割交付金,5838
052124,秋田県,大仙市,2020(令和2）,依存財源,配当割交付金,14027
052124,秋田県,大仙市,2020(令和2）,依存財源,株式等譲渡取得割交付金,18958
052124,秋田県,大仙市,2020(令和2）,依存財源,法人事業税交付金,50451
052124,秋田県,大仙市,2020(令和2）,依存財源,地方消費税交付金,1830508
052124,秋田県,大仙市,2020(令和2）,依存財源,ゴルフ場利用税交付金,13211
052124,秋田県,大仙市,2020(令和2）,依存財源,自動車取得税交付金,
052124,秋田県,大仙市,2020(令和2）,依存財源,環境性能割交付金,42221
052124,秋田県,大仙市,2020(令和2）,依存財源,地方特例交付金,76088
052124,秋田県,大仙市,2020(令和2）,依存財源,地方交付税,17960270
052124,秋田県,大仙市,2020(令和2）,依存財源,交通安全対策特別交付金,11702
052124,秋田県,大仙市,2020(令和2）,依存財源,国庫支出金,15702345
052124,秋田県,大仙市,2020(令和2）,依存財源,県支出金,3578775
052124,秋田県,大仙市,2020(令和2）,依存財源,市債,3255251
052124,秋田県,大仙市,2021(令和3）,自主財源,市税,7947150
052124,秋田県,大仙市,2021(令和3）,自主財源,分担金・負担金,50213
052124,秋田県,大仙市,2021(令和3）,自主財源,使用料・手数料,524403
052124,秋田県,大仙市,2021(令和3）,自主財源,財産収入,127950
052124,秋田県,大仙市,2021(令和3）,自主財源,寄付金（含む繰入金),1396819
052124,秋田県,大仙市,2021(令和3）,自主財源,繰越金,1988862
052124,秋田県,大仙市,2021(令和3）,自主財源,諸収入,1529041
052124,秋田県,大仙市,2021(令和3）,依存財源,地方譲与税,828370
052124,秋田県,大仙市,2021(令和3）,依存財源,利子割交付金,4463
052124,秋田県,大仙市,2021(令和3）,依存財源,配当割交付金,21976
052124,秋田県,大仙市,2021(令和3）,依存財源,株式等譲渡取得割交付金,30364
052124,秋田県,大仙市,2021(令和3）,依存財源,法人事業税交付金,107976
052124,秋田県,大仙市,2021(令和3）,依存財源,地方消費税交付金,1980266
052124,秋田県,大仙市,2021(令和3）,依存財源,ゴルフ場利用税交付金,13855
052124,秋田県,大仙市,2021(令和3）,依存財源,自動車取得税交付金,￣
052124,秋田県,大仙市,2021(令和3）,依存財源,環境性能割交付金,40535
052124,秋田県,大仙市,2021(令和3）,依存財源,地方特例交付金,164224
052124,秋田県,大仙市,2021(令和3）,依存財源,地方交付税,19271471
052124,秋田県,大仙市,2021(令和3）,依存財源,交通安全対策特別交付金,11906
052124,秋田県,大仙市,2021(令和3）,依存財源,国庫支出金,9152912
052124,秋田県,大仙市,2021(令和3）,依存財源,県支出金,3786258
052124,秋田県,大仙市,2021(令和3）,依存財源,市債,3226984
