市町村コード,都道府県名,市町村名,年度,地域,総面積(km2),田(km2),畑(km2),宅地(km2),池沼(km2),山林(km2),原野(km2),雑種地・その他(km2)
05212,秋田県,大仙市,2012(平成24）,神岡地域,35.16,14.09,1.69,1.95,0.26,5.52,4.92,6.74
05212,秋田県,大仙市,2013(平成25）,神岡地域,35.16,14.07,1.69,1.95,0.26,5.52,4.92,6.75
05212,秋田県,大仙市,2014(平成26）,神岡地域,35.16,14.08,1.69,1.95,0.26,5.51,4.92,6.76
05212,秋田県,大仙市,2015(平成27）,神岡地域,35.17,14.07,1.69,1.95,0.26,5.51,4.91,6.79
05212,秋田県,大仙市,2016(平成28）,神岡地域,35.17,14.08,1.68,1.95,0.26,5.51,4.90,6.79
05212,秋田県,大仙市,2017(平成29）,神岡地域,35.17,14.08,1.68,1.95,0.26,5.51,4.90,6.79
05212,秋田県,大仙市,2018(平成30）,神岡地域,35.17,14.08,1.68,1.96,0.26,5.51,4.90,6.79
05212,秋田県,大仙市,2019(令和1）,神岡地域,35.17,14.05,1.68,1.96,0.26,5.51,4.89,6.83
05212,秋田県,大仙市,2020(令和2）,神岡地域,35.17,14.05,1.68,1.96,0.26,5.51,4.88,6.84
05212,秋田県,大仙市,2021(令和3）,神岡地域,35.17,14.00,1.68,1.97,0.26,5.51,4.88,6.88
05212,秋田県,大仙市,2005(平成17),西仙北地域,168.40,23.75,5.19,2.92,0.96,100.72,7.43,27.43
05212,秋田県,大仙市,2006(平成18）,西仙北地域,168.40,23.75,5.18,2.93,0.96,101.83,7.39,26.36
05212,秋田県,大仙市,2007(平成19）,西仙北地域,168.40,23.84,5.09,2.98,0.96,101.84,7.36,26.33
05212,秋田県,大仙市,2008(平成20）,西仙北地域,168.40,23.88,5.02,2.99,0.96,101.84,7.37,26.33
05212,秋田県,大仙市,2009(平成21）,西仙北地域,168.40,23.89,4.99,3.05,0.96,101.83,7.33,26.34
05212,秋田県,大仙市,2010(平成22）,西仙北地域,168.40,23.90,4.99,3.06,0.96,101.84,7.33,26.31
05212,秋田県,大仙市,2011(平成23）,西仙北地域,168.40,23.93,4.99,3.08,0.96,101.84,7.31,26.29
05212,秋田県,大仙市,2012(平成24）,西仙北地域,168.40,23.96,4.97,3.08,0.96,103.57,7.32,24.53
05212,秋田県,大仙市,2013(平成25）,西仙北地域,168.40,23.97,4.97,3.09,0.96,103.57,7.31,24.53
05212,秋田県,大仙市,2014(平成26）,西仙北地域,168.40,23.95,4.97,3.10,0.96,103.79,7.31,24.33
05212,秋田県,大仙市,2015(平成27）,西仙北地域,168.42,23.94,4.97,3.14,0.96,105.31,7.19,22.91
05212,秋田県,大仙市,2016(平成28）,西仙北地域,168.42,23.91,4.98,3.15,0.96,105.28,7.19,22.95
05212,秋田県,大仙市,2017(平成29）,西仙北地域,168.42,23.92,4.96,3.15,0.96,105.30,7.20,22.93
05212,秋田県,大仙市,2018(平成30）,西仙北地域,168.42,23.91,4.94,3.16,0.96,105.31,7.22,22.92
05212,秋田県,大仙市,2019(令和1）,西仙北地域,168.42,23.88,4.94,3.17,0.96,105.31,7.21,22.95
05212,秋田県,大仙市,2020(令和2）,西仙北地域,168.42,23.88,4.94,3.17,0.96,105.31,7.24,22.92
05212,秋田県,大仙市,2021(令和3）,西仙北地域,168.42,23.87,4.94,3.17,0.96,105.32,7.25,22.91
05212,秋田県,大仙市,2005(平成17),中仙地域,78.92,34.69,2.10,2.89,0.04,6.65,8.84,23.71
05212,秋田県,大仙市,2006(平成18）,中仙地域,78.92,34.67,2.10,2.91,0.04,6.65,8.85,23.70
05212,秋田県,大仙市,2007(平成19）,中仙地域,78.92,34.65,2.09,2.93,0.04,6.66,8.81,23.73
05212,秋田県,大仙市,2008(平成20）,中仙地域,78.92,34.69,2.07,2.94,0.04,6.66,8.79,23.73
05212,秋田県,大仙市,2009(平成21）,中仙地域,78.92,34.65,2.06,2.97,0.05,6.67,8.78,23.75
05212,秋田県,大仙市,2010(平成22）,中仙地域,78.92,34.64,2.05,2.98,0.05,6.67,8.77,23.76
05212,秋田県,大仙市,2011(平成23）,中仙地域,78.92,34.65,2.05,2.99,0.05,6.72,8.76,23.71
05212,秋田県,大仙市,2012(平成24）,中仙地域,78.92,34.66,2.04,2.99,0.05,6.72,8.74,23.73
05212,秋田県,大仙市,2013(平成25）,中仙地域,78.92,34.63,2.04,3.02,0.05,6.72,8.73,23.74
05212,秋田県,大仙市,2014(平成26）,中仙地域,78.92,34.43,2.00,3.05,0.05,6.72,8.73,23.94
05212,秋田県,大仙市,2015(平成27）,中仙地域,78.93,34.41,2.00,3.07,0.05,6.74,8.72,23.94
05212,秋田県,大仙市,2016(平成28）,中仙地域,78.93,34.39,1.99,3.08,0.05,6.76,8.73,23.93
05212,秋田県,大仙市,2017(平成29）,中仙地域,78.93,34.39,1.99,3.11,0.05,6.76,8.71,23.92
05212,秋田県,大仙市,2018(平成30）,中仙地域,78.93,34.38,1.98,3.13,0.05,6.76,8.71,23.93
05212,秋田県,大仙市,2019(令和1）,中仙地域,78.93,34.37,1.98,3.14,0.05,6.77,8.70,23.92
05212,秋田県,大仙市,2020(令和2）,中仙地域,78.93,34.25,1.97,3.16,0.05,6.77,8.70,24.03
05212,秋田県,大仙市,2021(令和3）,中仙地域,78.93,34.23,1.96,3.18,0.05,6.79,8.70,24.01
05212,秋田県,大仙市,2005(平成17),協和地域,247.74,20.26,5.27,2.46,0.53,67.14,9.24,142.84
05212,秋田県,大仙市,2006(平成18）,協和地域,247.74,20.26,5.19,2.51,0.53,68.99,9.25,141.01
05212,秋田県,大仙市,2007(平成19）,協和地域,247.74,20.24,5.17,2.52,0.53,70.09,9.07,140.11
05212,秋田県,大仙市,2008(平成20）,協和地域,247.74,20.18,5.15,2.55,0.53,71.21,8.86,139.27
05212,秋田県,大仙市,2009(平成21）,協和地域,247.74,20.10,5.13,2.54,0.53,70.53,8.70,140.21
05212,秋田県,大仙市,2010(平成22）,協和地域,247.74,20.06,5.10,2.54,0.53,72.03,8.70,138.78
05212,秋田県,大仙市,2011(平成23）,協和地域,247.74,20.04,5.10,2.55,0.53,73.64,8.72,137.17
05212,秋田県,大仙市,2012(平成24）,協和地域,247.74,20.03,5.10,2.55,0.53,74.73,8.74,136.07
05212,秋田県,大仙市,2013(平成25）,協和地域,247.74,20.03,5.10,2.55,0.53,74.91,8.74,135.88
05212,秋田県,大仙市,2014(平成26）,協和地域,247.74,20.03,5.09,2.58,0.53,75.65,8.88,134.99
05212,秋田県,大仙市,2015(平成27）,協和地域,247.77,19.98,5.09,2.57,0.53,76.69,8.74,134.17
05212,秋田県,大仙市,2016(平成28）,協和地域,247.77,19.97,5.06,2.59,0.53,78.70,8.52,132.41
05212,秋田県,大仙市,2017(平成29）,協和地域,247.77,19.97,5.06,2.60,0.53,79.58,8.30,131.73
05212,秋田県,大仙市,2018(平成30）,協和地域,247.77,19.95,5.02,2.61,0.53,80.72,8.37,130.57
05212,秋田県,大仙市,2019(令和1）,協和地域,247.77,19.79,5.01,2.64,0.53,81.86,8.35,129.59
05212,秋田県,大仙市,2020(令和2）,協和地域,247.77,19.77,4.98,2.65,0.53,83.37,7.84,128.63
05212,秋田県,大仙市,2021(令和3）,協和地域,247.77,19.75,5.18,2.66,0.53,84.36,7.44,127.85
05212,秋田県,大仙市,2005(平成17),南外地域,98.85,10.31,2.48,1.39,0.38,73.20,2.75,8.34
05212,秋田県,大仙市,2006(平成18）,南外地域,98.85,10.29,2.47,1.40,0.38,64.31,2.75,17.26
05212,秋田県,大仙市,2007(平成19）,南外地域,98.85,10.28,2.47,1.40,0.38,64.29,2.75,17.28
05212,秋田県,大仙市,2008(平成20）,南外地域,98.85,10.36,2.39,1.40,0.38,64.25,2.72,17.35
05212,秋田県,大仙市,2009(平成21）,南外地域,98.85,10.33,2.38,1.41,0.37,64.23,2.66,17.46
05212,秋田県,大仙市,2010(平成22）,南外地域,98.85,10.32,2.37,1.42,0.37,64.22,2.68,17.47
05212,秋田県,大仙市,2011(平成23）,南外地域,98.85,10.32,2.37,1.42,0.37,64.22,2.68,17.47
05212,秋田県,大仙市,2012(平成24）,南外地域,98.85,10.04,2.26,1.41,0.37,63.86,2.42,18.49
05212,秋田県,大仙市,2013(平成25）,南外地域,98.85,10.04,2.26,1.41,0.37,63.86,2.45,18.46
05212,秋田県,大仙市,2014(平成26）,南外地域,98.85,10.05,2.25,1.41,0.37,63.86,2.47,18.44
05212,秋田県,大仙市,2015(平成27）,南外地域,98.86,10.05,2.25,1.41,0.37,63.86,2.47,18.45
05212,秋田県,大仙市,2016(平成28）,南外地域,98.86,9.92,2.21,1.41,0.37,63.87,2.43,18.65
05212,秋田県,大仙市,2017(平成29）,南外地域,98.86,9.92,2.21,1.42,0.37,63.84,2.42,18.68
05212,秋田県,大仙市,2018(平成30）,南外地域,98.86,9.90,2.21,1.41,0.37,63.84,2.37,18.77
05212,秋田県,大仙市,2019(令和1）,南外地域,98.86,9.90,2.20,1.50,0.37,63.82,2.36,18.71
05212,秋田県,大仙市,2020(令和2）,南外地域,98.86,9.90,2.16,1.54,0.37,63.82,2.36,18.71
05212,秋田県,大仙市,2021(令和3）,南外地域,98.86,9.90,2.16,1.54,0.37,63.81,2.34,18.73
05212,秋田県,大仙市,2005(平成17),仙北地域,29.56,20.79,0.50,2.09,0.02,0.23,0.25,5.68
05212,秋田県,大仙市,2006(平成18）,仙北地域,29.56,20.78,0.50,2.28,0.01,0.23,0.25,5.52
05212,秋田県,大仙市,2007(平成19）,仙北地域,29.56,20.77,0.49,2.29,0.01,0.23,0.25,5.52
05212,秋田県,大仙市,2008(平成20）,仙北地域,29.56,20.76,0.49,2.30,0.01,0.23,0.25,5.52
05212,秋田県,大仙市,2009(平成21）,仙北地域,29.56,20.74,0.49,2.33,0.01,0.23,0.25,5.51
05212,秋田県,大仙市,2010(平成22）,仙北地域,29.56,20.65,0.48,2.35,0.01,0.23,0.25,5.59
05212,秋田県,大仙市,2011(平成23）,仙北地域,29.56,20.64,0.48,2.35,0.01,0.23,0.25,5.60
05212,秋田県,大仙市,2012(平成24）,仙北地域,29.56,20.55,0.47,2.36,0.01,0.23,0.23,5.71
05212,秋田県,大仙市,2013(平成25）,仙北地域,29.56,20.54,0.47,2.37,0.01,0.23,0.23,5.71
05212,秋田県,大仙市,2014(平成26）,仙北地域,29.56,20.54,0.47,2.38,0.01,0.23,0.23,5.71
05212,秋田県,大仙市,2015(平成27）,仙北地域,29.56,20.52,0.46,2.39,0.01,0.23,0.23,5.72
05212,秋田県,大仙市,2016(平成28）,仙北地域,29.56,20.48,0.46,2.39,0.01,0.23,0.23,5.76
05212,秋田県,大仙市,2017(平成29）,仙北地域,29.56,20.47,0.46,2.40,0.01,0.23,0.23,5.76
05212,秋田県,大仙市,2018(平成30）,仙北地域,29.56,20.47,0.46,2.40,0.01,0.23,0.23,5.76
05212,秋田県,大仙市,2019(令和1）,仙北地域,29.56,20.46,0.46,2.41,0.01,0.23,0.23,5.76
05212,秋田県,大仙市,2020(令和2）,仙北地域,29.56,20.46,0.46,2.41,0.01,0.23,0.23,5.76
05212,秋田県,大仙市,2021(令和3）,仙北地域,29.56,20.45,0.46,2.42,0.01,0.23,0.23,5.76
05212,秋田県,大仙市,2005(平成17),太田地域,103.36,27.34,1.05,2.38,0.07,3.97,2.50,66.05
05212,秋田県,大仙市,2006(平成18）,太田地域,103.36,27.34,1.05,2.39,0.07,5.12,2.51,64.86
05212,秋田県,大仙市,2007(平成19）,太田地域,103.36,27.33,1.04,2.42,0.07,5.13,2.51,64.86
05212,秋田県,大仙市,2008(平成20）,太田地域,103.36,27.40,1.03,2.46,0.07,5.15,2.44,64.81
05212,秋田県,大仙市,2009(平成21）,太田地域,103.36,27.41,1.01,2.48,0.07,5.16,2.37,64.85
05212,秋田県,大仙市,2010(平成22）,太田地域,103.36,27.42,1.00,2.49,0.07,5.21,2.33,64.83
05212,秋田県,大仙市,2011(平成23）,太田地域,103.36,27.43,1.00,2.50,0.07,5.22,2.32,64.82
05212,秋田県,大仙市,2012(平成24）,太田地域,103.36,27.47,0.99,2.50,0.07,5.21,2.31,64.81
05212,秋田県,大仙市,2013(平成25）,太田地域,103.36,27.47,0.98,2.50,0.07,5.21,2.31,64.81
05212,秋田県,大仙市,2014(平成26）,太田地域,103.36,27.48,0.98,2.51,0.07,5.21,2.30,64.81
05212,秋田県,大仙市,2015(平成27）,太田地域,103.37,27.50,0.95,2.53,0.07,5.25,2.26,64.81
05212,秋田県,大仙市,2016(平成28）,太田地域,103.37,27.51,0.94,2.53,0.07,5.25,2.26,64.81
05212,秋田県,大仙市,2017(平成29）,太田地域,103.37,27.54,0.93,2.54,0.07,5.24,2.25,64.80
05212,秋田県,大仙市,2018(平成30）,太田地域,103.37,27.55,0.92,2.54,0.07,5.24,2.25,64.79
05212,秋田県,大仙市,2019(令和1）,太田地域,103.39,27.49,0.91,2.55,0.07,5.24,2.24,64.89
05212,秋田県,大仙市,2020(令和2）,太田地域,103.39,27.52,0.90,2.56,0.07,5.23,2.24,64.87
05212,秋田県,大仙市,2021(令和3）,太田地域,103.39,27.51,0.9,2.57,0.07,5.22,2.23,64.89
