市町村コード,都道府県名,市町村名,地域,年,観光客数（千人）,観光客前年比（％）,県内客数（千人）,県内客比率（％）,県外客数（千人）,県外客比率（％）,宿泊客数（千人）,宿泊率（％）,日帰客数（千人）
052124,秋田県,大仙市,南外地域,2011（平成23）,38,97.4,30,78.9,8,21.1,2,5.3,36
052124,秋田県,大仙市,南外地域,2012（平成24）,39,102.6,30,76.9,9,23.1,1,2.6,38
052124,秋田県,大仙市,南外地域,2013（平成25）,41,105.1,23,56.1,18,43.9,1,2.4,40
052124,秋田県,大仙市,南外地域,2014（平成26）,41,100,32,78,9,22,1,2.4,40
052124,秋田県,大仙市,南外地域,2015（平成27）,41,100,35,85.4,6,14.6,1,2.4,40
052124,秋田県,大仙市,南外地域,2016（平成28）,41,100,35,85.4,6,14.6,1,2.4,40
052124,秋田県,大仙市,南外地域,2017（平成29）,39,95.1,33,84.6,6,15.4,1,2.6,38
052124,秋田県,大仙市,南外地域,2018（平成30）,39,100,33,84.6,6,15.4,1,2.6,38
052124,秋田県,大仙市,南外地域,2019（平成31）,43,110.3,37,86,6,14,1,2.3,42
052124,秋田県,大仙市,南外地域,2020（令和2）,44,102.3,38,86.4,6,13.6,0,0,44
052124,秋田県,大仙市,南外地域,2021（令和3）,44,100,38,86.4,6,13.6,0,0,44
052124,秋田県,大仙市,仙北地域,2005（平成17）,145,92,130,89.7,15,10.3,7,4.8,138
052124,秋田県,大仙市,仙北地域,2006（平成18）,140,95.9,124,88.6,16,11.4,6,4.3,134
052124,秋田県,大仙市,仙北地域,2007（平成19）,132,95,106,80.3,26,19.7,5,3.8,127
052124,秋田県,大仙市,仙北地域,2008（平成20）,126,95.5,114,90.5,12,9.5,5,4,121
052124,秋田県,大仙市,仙北地域,2009（平成21）,119,94.4,113,95,6,5,5,4.2,114
052124,秋田県,大仙市,仙北地域,2010（平成22）,111,93.3,105,94.6,6,5.4,4,3.6,107
052124,秋田県,大仙市,仙北地域,2011（平成23）,110,99.1,104,94.5,6,5.5,5,4.5,105
052124,秋田県,大仙市,仙北地域,2012（平成24）,131,119.1,121,92.4,10,7.6,5,3.8,126
052124,秋田県,大仙市,仙北地域,2013（平成25）,144,109.9,82,56.9,62,43.1,5,3.5,139
052124,秋田県,大仙市,仙北地域,2014（平成26）,152,105.6,139,91.4,13,8.6,4,2.6,148
052124,秋田県,大仙市,仙北地域,2015（平成27）,161,105.9,155,96.3,6,3.7,5,3.1,156
052124,秋田県,大仙市,仙北地域,2016（平成28）,160,99.4,154,96.3,6,3.8,5,3.1,155
052124,秋田県,大仙市,仙北地域,2017（平成29）,157,98.1,151,96.2,6,3.8,4,2.5,153
052124,秋田県,大仙市,仙北地域,2018（平成30）,165,105.1,159,96.4,6,3.6,4,2.4,161
052124,秋田県,大仙市,仙北地域,2019（平成31）,164,99.4,158,96.3,6,3.7,3,1.8,161
052124,秋田県,大仙市,仙北地域,2020（令和2）,111,67.7,107,96.4,4,3.6,1,0.9,110
052124,秋田県,大仙市,仙北地域,2021（令和3）,112,100.9,108,96.4,3,2.7,1,1,111
052124,秋田県,大仙市,太田地域,2005（平成17）,269,102.3,201,74.7,68,25.3,10,3.7,259
052124,秋田県,大仙市,太田地域,2006（平成18）,289,107,216,74.7,73,25.3,9,3.1,280
052124,秋田県,大仙市,太田地域,2007（平成19）,289,100.3,271,93.8,18,6.2,9,3.1,280
052124,秋田県,大仙市,太田地域,2008（平成20）,261,88.5,260,99.6,1,0.4,7,2.7,254
052124,秋田県,大仙市,太田地域,2009（平成21）,280,88.5,275,98.2,5,1.8,9,3.2,271
052124,秋田県,大仙市,太田地域,2010（平成22）,254,90.7,222,87.4,32,12.6,9,3.5,245
052124,秋田県,大仙市,太田地域,2011（平成23）,246,96.9,211,85.8,35,14.2,10,4.1,236
052124,秋田県,大仙市,太田地域,2012（平成24）,247,100.4,214,86.6,33,13.4,12,4.9,235
052124,秋田県,大仙市,太田地域,2013（平成25）,262,106.1,215,82.1,47,17.9,11,4.2,251
052124,秋田県,大仙市,太田地域,2014（平成26）,245,93.5,205,83.7,40,16.3,11,4.5,234
052124,秋田県,大仙市,太田地域,2015（平成27）,234,95.5,194,82.9,40,17.1,12,5.1,222
052124,秋田県,大仙市,太田地域,2016（平成28）,231,98.7,190,82.3,41,17.7,12,5.2,219
052124,秋田県,大仙市,太田地域,2017（平成29）,231,100,191,82.7,40,17.3,11,4.8,220
052124,秋田県,大仙市,太田地域,2018（平成30）,215,93.1,179,83.3,36,16.7,9,4.2,206
052124,秋田県,大仙市,太田地域,2019（平成31）,217,100.9,180,82.9,37,17.1,9,4.1,208
052124,秋田県,大仙市,太田地域,2020（令和2）,141,65,116,82.3,25,17.7,2,1.4,139
052124,秋田県,大仙市,太田地域,2021（令和3）,146,103.5,122,83.6,23,15.8,1,0.7,145
