市町村コード,都道府県名,市町村名,地域,年度,専用住宅（件数）,専用住宅（面積）,共同住宅（件数）,共同住宅（面積）,併用住宅（件数）,併用住宅（面積）,その他（件数）,その他（面積）,総数（件数）,総数（面積）,新築（件数）,新築（面積）,増築（件数）,増築（面積）,改築その他（件数）,改築その他（面積）,木造（件数）,木造（面積）,鉄骨他（件数）,鉄骨他（面積）
052124,秋田県,大仙市,西仙北地域,2007(平成19）,29 ,4972.72 ,0 ,0.00 ,0 ,0.00 ,17 ,2350.42 ,46 ,7323.14 ,20 ,4401.70 ,19 ,2238.37 ,7 ,683.07 ,42 ,6107.23 ,4 ,1215.91 
052124,秋田県,大仙市,西仙北地域,2008(平成20）,15 ,2257.54 ,1 ,240.70 ,0 ,0.00 ,17 ,4652.16 ,33 ,7150.40 ,18 ,3669.29 ,7 ,2127.78 ,8 ,1353.33 ,29 ,3677.88 ,4 ,3472.52 
052124,秋田県,大仙市,西仙北地域,2009(平成21）,9 ,1312.36 ,2 ,307.36 ,0 ,0.00 ,13 ,3297.91 ,24 ,4917.63 ,19 ,2169.75 ,4 ,2535.88 ,1 ,212.00 ,18 ,2918.64 ,6 ,1998.99 
052124,秋田県,大仙市,西仙北地域,2010(平成22）,16 ,2136.94 ,0 ,0.00 ,0 ,0.00 ,10 ,1013.39 ,26 ,3150.33 ,16 ,1613.18 ,4 ,682.12 ,6 ,855.03 ,22 ,2231.02 ,4 ,919.31 
052124,秋田県,大仙市,西仙北地域,2011(平成23）,18 ,2379.21 ,0 ,0.00 ,0 ,0.00 ,7 ,375.69 ,25 ,2754.90 ,13 ,1476.40 ,9 ,648.43 ,3 ,630.07 ,22 ,2568.10 ,3 ,186.80 
052124,秋田県,大仙市,西仙北地域,2012(平成24）,18 ,2087.60 ,0 ,0.00 ,2 ,105.99 ,11 ,1119.24 ,31 ,3312.83 ,19 ,2407.40 ,7 ,369.02 ,5 ,536.41 ,29 ,2618.23 ,2 ,694.60 
052124,秋田県,大仙市,西仙北地域,2013(平成25）,13 ,1603.20 ,0 ,0.00 ,1 ,115.68 ,9 ,761.78 ,23 ,2480.66 ,19 ,2131.13 ,3 ,160.74 ,1 ,188.79 ,23 ,2480.66 ,0 ,0.00 
052124,秋田県,大仙市,西仙北地域,2014(平成26）,16 ,2000.29 ,3 ,444.64 ,0 ,0.00 ,11 ,2478.91 ,30 ,4923.84 ,26 ,4567.21 ,3 ,132.63 ,1 ,224.00 ,29 ,4906.91 ,1 ,16.93 
052124,秋田県,大仙市,西仙北地域,2015(平成27）,24 ,3089.22 ,0 ,0.00 ,0 ,0.00 ,15 ,6657.76 ,39 ,9746.98 ,28 ,3819.77 ,9 ,1240.78 ,2 ,4686.43 ,36 ,4558.20 ,3 ,5188.78 
052124,秋田県,大仙市,西仙北地域,2016(平成28）,15 ,2018.92 ,2 ,304.70 ,0 ,0.00 ,12 ,1757.36 ,29 ,4080.98 ,20 ,2581.73 ,8 ,1484.27 ,1 ,14.98 ,22 ,3094.98 ,7 ,986.00 
052124,秋田県,大仙市,西仙北地域,2017(平成29）,15 ,1777.26 ,0 ,0.00 ,0 ,0.00 ,15 ,5866.85 ,30 ,7644.11 ,22 ,7039.64 ,7 ,487.71 ,1 ,116.76 ,23 ,2062.56 ,7 ,5581.55 
052124,秋田県,大仙市,西仙北地域,2018(平成30）,15 ,1958.68 ,0 ,0.00 ,0 ,0.00 ,4 ,264.46 ,19 ,2223.14 ,18 ,2064.79 ,1 ,158.35 ,0 ,0.00 ,18 ,2064.79 ,1 ,158.35 
052124,秋田県,大仙市,西仙北地域,2019(令和1）,15 ,1481.59 ,0 ,0.00 ,0 ,0.00 ,6 ,2795.99 ,21 ,4277.58 ,10 ,3410.60 ,11 ,866.98 ,0 ,0.00 ,17 ,1696.38 ,4 ,2581.20 
052124,秋田県,大仙市,西仙北地域,2020(令和2）,13 ,1694.22 ,0 ,0.00 ,1 ,27.59 ,4 ,509.18 ,18 ,2230.99 ,12 ,1746.38 ,6 ,484.61 ,0 ,0.00 ,14 ,1657.75 ,4 ,573.24 
