地域コード,都道府県,市町村,地域,地区,年次,総数(ha),田(ha),畑(ha),樹園地(ha)
052124,秋田県,大仙市,神岡地域,神宮寺,2020(令和2),766,738,27,1
052124,秋田県,大仙市,神岡地域,北楢岡,2020(令和2),310,301,8,0
052124,秋田県,大仙市,西仙北地域,全域,1975(昭和50),2789,2354,433,2
052124,秋田県,大仙市,西仙北地域,刈和野,1975(昭和50),303,259,44,0
052124,秋田県,大仙市,西仙北地域,土川,1975(昭和50),786,674,111,1
052124,秋田県,大仙市,西仙北地域,大沢郷,1975(昭和50),806,673,132,1
052124,秋田県,大仙市,西仙北地域,強首,1975(昭和50),895,749,146,0
052124,秋田県,大仙市,西仙北地域,全域,1980(昭和55),2893,2474,416,3
052124,秋田県,大仙市,西仙北地域,刈和野,1980(昭和55),298,264,34,0
052124,秋田県,大仙市,西仙北地域,土川,1980(昭和55),866,737,127,2
052124,秋田県,大仙市,西仙北地域,大沢郷,1980(昭和55),815,693,122,0
052124,秋田県,大仙市,西仙北地域,強首,1980(昭和55),914,780,133,1
052124,秋田県,大仙市,西仙北地域,全域,1985(昭和60),2891,2488,399,5
052124,秋田県,大仙市,西仙北地域,刈和野,1985(昭和60),287,258,29,1
052124,秋田県,大仙市,西仙北地域,土川,1985(昭和60),877,744,129,4
052124,秋田県,大仙市,西仙北地域,大沢郷,1985(昭和60),810,693,117,0
052124,秋田県,大仙市,西仙北地域,強首,1985(昭和60),917,793,125,0
052124,秋田県,大仙市,西仙北地域,全域,1990(平成2),2795,2420,366,10
052124,秋田県,大仙市,西仙北地域,刈和野,1990(平成2),270,245,25,0
052124,秋田県,大仙市,西仙北地域,土川,1990(平成2),879,730,139,9
052124,秋田県,大仙市,西仙北地域,大沢郷,1990(平成2),771,662,109,0
052124,秋田県,大仙市,西仙北地域,強首,1990(平成2),876,782,93,0
052124,秋田県,大仙市,西仙北地域,全域,1995(平成7),2724,2336,381,7
052124,秋田県,大仙市,西仙北地域,刈和野,1995(平成7),245,226,18,1
052124,秋田県,大仙市,西仙北地域,土川,1995(平成7),814,706,104,4
052124,秋田県,大仙市,西仙北地域,大沢郷,1995(平成7),772,653,117,1
052124,秋田県,大仙市,西仙北地域,強首,1995(平成7),893,750,142,0
052124,秋田県,大仙市,西仙北地域,全域,2000(平成12),2688,2325,359,4
052124,秋田県,大仙市,西仙北地域,刈和野,2000(平成12),214,198,16,0
052124,秋田県,大仙市,西仙北地域,土川,2000(平成12),790,696,91,3
052124,秋田県,大仙市,西仙北地域,大沢郷,2000(平成12),767,655,112,0
052124,秋田県,大仙市,西仙北地域,強首,2000(平成12),916,776,140,0
052124,秋田県,大仙市,西仙北地域,全域,2005(平成17),2402,2121,278,3
052124,秋田県,大仙市,西仙北地域,刈和野,2005(平成17),180,171,9,0
052124,秋田県,大仙市,西仙北地域,土川,2005(平成17),717,638,77,2
052124,秋田県,大仙市,西仙北地域,大沢郷,2005(平成17),669,602,67,0
052124,秋田県,大仙市,西仙北地域,強首,2005(平成17),835,710,125,0
052124,秋田県,大仙市,西仙北地域,全域,2010(平成22),1822,1558,261,2
052124,秋田県,大仙市,西仙北地域,刈和野,2010(平成22),92,90,3,0
052124,秋田県,大仙市,西仙北地域,土川,2010(平成22),721,635,84,2
